"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-02-26",,"45","7","10"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-02-27",,"46","10","18"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-02-28",,"56","18","26"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-01",,"62","23","32"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-02",,"71","27","32"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-03",,"74","30","36"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-04",,"74","36","52"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-05",,"73","39","41"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-06",,"65","20","20"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-07",,"36","11","13"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-08",,"39","13",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-09",,"45","12",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-10",,"56","13","13"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-11",,"31","13",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-12",,"35","14","18"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-13",,"57","18","32"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-14",,"71","32",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-15",,"59","22","30"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-16",,"68","30",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-17",,"72","39",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-18",,"49","24",
