2017-18 Class Size by Gender and Selected Population ,,,,,,,,,
School Name,School Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Arlington - Cyrus E Dallin,00100025,      25,  19.3,        483,  48.4,  51.6,   3.1,  14.5,3.7
Arlington - Hardy,00100030,      22,  20.3,        446,  45.5,  54.3,  11.2,  16.6,5.4
Arlington - John A Bishop,00100005,      18,  23.0,        414,  46.1,  53.9,   5.1,  11.4,6
Arlington - M Norcross Stratton,00100055,      24,  17.2,        412,  50.2,  49.8,   5.3,  17.2,8.7
Arlington - Menotomy Preschool,00100038,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Arlington - Ottoson Middle,00100410,      77,  18.2,"      1,251",  53.5,  46.5,   2.7,  17.8,9
Arlington - Peirce,00100045,      13,  23.2,        301,  48.8,  51.2,   9.3,  15.6,7.6
Arlington - Thompson,00100050,      23,  21.1,        486,  48.8,  51.2,  11.9,  14.4,15
Ashburnham-Westminster - Briggs Elementary,06100025,      27,  19.6,        480,  50.6,  49.4,   2.9,  22.5,16.9
Ashburnham-Westminster - Meetinghouse School,06100010,       8,  20.5,        164,  50.6,  49.4,   3.0,  12.8,17.1
Ashburnham-Westminster - Oakmont Regional High School,06100505,      60,  19.5,        683,  51.7,  48.3,   1.2,  12.9,13.3
Ashburnham-Westminster - Overlook Middle School,06100305,      65,  17.3,        568,  50.2,  49.8,   1.1,  17.6,14.8
Ashburnham-Westminster - Westminster Elementary,06100005,      16,  24.1,        385,  45.5,  54.5,   2.3,  18.4,15.6
Ashland - Ashland High,00140505,      42,  20.2,        775,  51.5,  48.4,   3.1,  12.5,12
Ashland - Ashland Middle,00140405,      36,  18.0,        603,  51.2,  48.8,   4.1,  16.4,13.1
Ashland - David Mindess,00140015,      31,  23.1,        646,  50.0,  50.0,   6.7,  17.3,13
Ashland - Henry E Warren Elementary,00140010,       1,  30.0,         30,  63.3,  36.7,  20.0,  30.0,20
Ashland - William Pittaway Elementary,00140005,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,     102,  19.9,"      1,102",  40.7,  59.2,   3.3,  29.5,22.3
Athol-Royalston - Athol Community Elementary School,06150020,      25,  20.7,        518,  46.1,  53.9,   2.7,  27.4,56.8
Athol-Royalston - Athol High,06150505,      42,  13.3,        364,  47.5,  52.5,   1.4,  25.0,41.2
Athol-Royalston - Athol-Royalston Middle School,06150305,      36,  17.7,        384,  47.7,  52.3,   4.7,  28.4,43.5
Athol-Royalston - Royalston Community School,06150050,       8,  17.3,        138,  48.6,  51.4,   0.0,  14.5,35.5
Atlantis Charter (District) - Atlantis Charter School,04910550,      76,  23.0,"      1,207",  53.3,  46.7,   9.9,  13.2,39.9
Attleboro - A. Irvin Studley Elementary School,00160001,      20,  19.3,        384,  48.7,  51.3,  12.8,  16.4,37.5
Attleboro - Attleboro Community Academy,00160515,       6,  10.0,         44,  54.5,  45.5,   2.3,   4.5,43.2
Attleboro - Attleboro High,00160505,     128,  21.3,"      1,659",  47.5,  52.5,   2.5,   9.7,24.6
Attleboro - Cyril K. Brennan Middle School,00160315,      29,  20.1,        583,  47.0,  52.8,   5.7,  13.4,34.1
Attleboro - Early Learning Center,00160008,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Attleboro - Hill-Roberts Elementary School,00160045,      19,  24.5,        464,  48.5,  51.5,   5.6,  14.4,30.8
Attleboro - Hyman Fine Elementary School,00160040,      19,  25.1,        475,  49.7,  50.3,  12.8,  13.3,31.2
Attleboro - Peter Thacher Elementary School,00160050,      26,  16.6,        432,  49.1,  50.9,  11.1,  22.7,33.6
Attleboro - Robert J. Coelho Middle School,00160305,      29,  23.8,        685,  48.2,  51.8,   1.6,  15.9,20.3
Attleboro - Thomas Willett Elementary School,00160035,      19,  21.6,        410,  48.8,  51.2,  12.7,  17.6,35.6
Attleboro - Wamsutta Middle School,00160320,      26,  21.9,        570,  46.7,  53.3,   4.2,  16.7,30.2
Auburn - Auburn Middle,00170305,      71,  17.7,        633,  46.4,  53.6,   2.8,   9.8,16.3
Auburn - Auburn Senior High,00170505,      94,  18.0,        731,  53.5,  46.5,   2.5,   7.5,14
Auburn - Bryn Mawr,00170010,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Auburn - Pakachoag School,00170025,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Auburn - Swanson Road Intermediate School,00170030,      17,  22.1,        375,  54.1,  45.9,   3.2,   8.3,20
Avon - Avon Middle High School,00180510,      26,  15.1,        296,  48.6,  51.0,   3.7,  13.2,25.3
Avon - Ralph D Butler,00180010,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Ayer Shirley School District - Ayer Shirley Regional High School,06160505,      27,  14.9,        395,  51.9,  48.1,   2.8,  13.9,22.8
Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,      20,  18.2,        364,  48.9,  51.1,   2.2,  17.9,26.4
Ayer Shirley School District - Lura A. White Elementary School,06160001,      17,  21.3,        362,  47.5,  52.5,   2.5,  19.3,22.4
Ayer Shirley School District - Page Hilltop Elementary School,06160002,      26,  19.6,        509,  47.2,  52.8,   8.3,  15.9,24.6
Barnstable - Barnstable High,00200505,     110,  18.1,"      1,759",  49.6,  50.3,   6.7,  12.7,24.3
Barnstable - Barnstable Intermediate School,00200315,      76,  11.9,        730,  50.8,  49.2,   8.4,  16.6,30.5
Barnstable - Barnstable United Elementary School,00200050,      55,  17.5,        851,  48.6,  51.2,  10.9,  13.0,38.2
Barnstable - Centerville Elementary,00200010,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Barnstable - Enoch Cobb Early Learning Center,00200001,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Barnstable - Hyannis West Elementary,00200025,       2,  35.0,         70,  45.7,  54.3,  10.0,   8.6,52.9
Barnstable - West Barnstable Elementary,00200005,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Barnstable - West Villages Elementary School,00200045,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Barnstable Community Horace Mann Charter Public (District) - Barnstable Community Horace Mann Charter Public School,04270010,       1,  72.0,         72,  59.7,  40.3,  26.4,  20.8,47.2
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,      47,  15.3,        441,  49.7,  50.3,  13.4,  19.3,68
Bedford - Bedford High,00230505,      54,  15.9,        803,  49.9,  49.9,   1.6,  14.8,8.2
Bedford - John Glenn Middle,00230305,      32,  18.1,        578,  49.1,  50.9,   3.3,  17.8,7.8
Bedford - Lt Elezer Davis,00230010,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Bedford - Lt Job Lane School,00230012,       1,  47.0,         47,  59.6,  40.4,  14.9,  51.1,25.5
Belchertown - Belchertown High,00240505,      44,  15.5,        636,  47.2,  52.8,   0.2,  13.1,11.8
Belchertown - Chestnut Hill Community School,00240006,      29,  19.0,        550,  51.6,  48.4,   1.1,  22.7,20.5
Belchertown - Cold Spring,00240005,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Belchertown - Jabish Middle School,00240025,      25,  16.0,        400,  47.5,  52.5,   0.3,  17.3,19.3
Belchertown - Swift River Elementary,00240018,      23,  20.4,        469,  48.2,  51.8,   1.9,  20.7,22.4
Bellingham - Bellingham Early Childhood Center,00250003,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Bellingham - Bellingham High School,00250505,      46,  17.3,        725,  48.3,  51.7,   1.8,  16.1,14.1
Bellingham - Bellingham Memorial School,00250315,      22,  17.7,        349,  48.1,  51.9,   0.6,  14.6,16.6
Bellingham - Keough Memorial Academy,00250510,       5,   8.0,         40,  45.0,  52.5,   0.0,  85.0,32.5
Bellingham - South Elementary,00250020,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Bellingham - Stall Brook,00250025,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Belmont - Belmont High,00260505,      72,  19.7,"      1,287",  51.2,  48.8,   1.7,   6.0,7.3
Belmont - Daniel Butler,00260015,      17,  22.9,        390,  44.6,  55.4,  16.2,   9.2,10.5
Belmont - Mary Lee Burbank,00260010,      17,  22.2,        378,  49.2,  50.8,  13.2,   6.6,5.6
