2017-18 Class Size by Gender and Selected Population ,,,,,,,,,
School Name,School Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Danvers - Highlands,00710010,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Danvers - Holten Richmond Middle School,00710305,      57,  15.5,        827,  49.5,  50.5,   0.2,  17.7,15.2
Danvers - Ivan G Smith,00710032,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Danvers - Riverside,00710030,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Danvers - Willis E Thorpe,00710045,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Dartmouth - Andrew B. Cushman School,00720005,       4,  19.3,         77,  48.1,  51.9,   2.6,   9.1,31.2
Dartmouth - Dartmouth High,00720505,      66,  19.3,        999,  49.1,  50.8,   1.8,  10.6,14.5
Dartmouth - Dartmouth Middle,00720050,      96,  16.4,        965,  45.9,  54.1,   1.6,  14.6,21.7
Dartmouth - George H Potter,00720030,      19,  21.2,        403,  44.2,  55.8,   4.2,  14.6,31.3
Dartmouth - James M. Quinn School,00720040,      30,  21.1,        634,  47.0,  53.0,   3.6,  19.4,23.7
Dartmouth - Joseph Demello,00720015,      21,  20.9,        438,  48.2,  51.8,   6.4,  17.1,20.3
Dedham - Avery,00730010,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Dedham - Dedham High,00730505,      48,  17.1,        717,  50.8,  49.2,   6.0,  14.5,18.7
Dedham - Dedham Middle School,00730305,      37,  16.3,        588,  49.0,  51.0,   5.8,  21.8,20.9
Dedham - Early Childhood Center,00730005,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Dedham - Greenlodge,00730025,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Dedham - Oakdale,00730030,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Dedham - Riverdale,00730045,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Deerfield - Deerfield Elementary,00740015,      21,  17.7,        363,  51.2,  48.8,   0.8,  21.5,18.2
Dennis-Yarmouth - Dennis-Yarmouth Regional High,06450505,      74,  14.8,        991,  49.0,  51.0,   5.7,  14.6,33
Dennis-Yarmouth - Ezra H Baker Innovation School,06450005,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Dennis-Yarmouth - Marguerite E Small Elementary,06450015,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Dennis-Yarmouth - Mattacheese Middle School,06450305,      34,  16.1,        440,  49.8,  50.2,   7.3,  22.3,42
Dennis-Yarmouth - N H Wixon Innovation School,06450050,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Dennis-Yarmouth - Station Avenue Elementary,06450025,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Dighton-Rehoboth - Dighton Elementary,06500005,      21,  22.3,        469,  46.5,  53.5,   0.0,  10.4,15.8
Dighton-Rehoboth - Dighton Middle School,06500305,      17,  23.6,        401,  46.9,  53.1,   0.0,  16.2,17.2
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,06500505,      54,  16.3,        799,  45.6,  54.4,   0.0,  10.5,10.5
Dighton-Rehoboth - Dorothy L Beckwith,06500310,      33,  18.9,        591,  50.6,  49.4,   0.3,  18.6,16.2
Dighton-Rehoboth - Palmer River,06500010,      26,  21.6,        561,  52.2,  47.8,   0.4,  14.4,12.7
Douglas - Douglas Elementary School,00770015,      16,  23.0,        368,  52.4,  47.6,   0.3,  20.1,15.5
Douglas - Douglas High School,00770505,      30,  14.0,        380,  50.8,  49.2,   0.5,  18.2,10.5
Douglas - Douglas Middle School,00770305,      17,  19.9,        338,  44.1,  55.9,   0.9,  15.4,16.3
Douglas - Douglas Primary School,00770005,       8,  20.1,        161,  46.6,  53.4,   0.6,  19.9,15.5
Dover - Chickering,00780005,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Dover-Sherborn - Dover-Sherborn Regional High,06550505,      42,  16.6,        655,  49.3,  50.5,   0.6,  13.3,5
Dover-Sherborn - Dover-Sherborn Regional Middle School,06550405,      44,  16.1,        528,  49.2,  50.8,   0.6,  15.3,2.5
Dracut - Brookside Elementary,00790035,      44,  21.0,        456,  46.9,  53.1,   2.4,  20.8,25
Dracut - Dracut Senior High,00790505,      50,  17.8,        830,  50.5,  49.5,   2.2,   8.0,14.8
Dracut - George H. Englesby Elementary School,00790045,      52,  20.2,        524,  50.2,  49.8,   1.7,  18.1,27.7
Dracut - Greenmont Avenue,00790030,      26,  22.2,        289,  46.0,  54.0,   5.5,  16.3,29.4
Dracut - Joseph A Campbell Elementary,00790020,      52,  19.6,        510,  45.7,  54.3,   1.2,  17.5,15.3
Dracut - Justus C. Richardson Middle School,00790410,      90,  18.7,        884,  51.5,  48.5,   0.9,  15.4,22.2
Dudley Street Neighborhood Charter School (District) - Dudley Street Neighborhood Charter School,04070405,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Dudley-Charlton Reg - Charlton Elementary,06580020,       1,  17.0,         17,  52.9,  47.1,  11.8,  23.5,29.4
Dudley-Charlton Reg - Charlton Middle School,06580310,      38,  18.1,        686,  47.7,  52.3,   0.4,  12.5,17.1
Dudley-Charlton Reg - Dudley Elementary,06580005,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Dudley-Charlton Reg - Dudley Middle School,06580305,      38,  16.9,        591,  53.1,  46.9,   1.2,  14.4,23.2
Dudley-Charlton Reg - Heritage School,06580030,       1,   8.0,          8,  62.5,  37.5,   0.0,  12.5,12.5
Dudley-Charlton Reg - Mason Road School,06580010,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Dudley-Charlton Reg - Shepherd Hill Regional High,06580505,      69,  18.7,"      1,141",  51.7,  48.2,   0.8,   9.3,16
Duxbury - Alden School,00820004,      31,  22.2,        687,  50.2,  49.8,   0.4,  12.7,4.9
Duxbury - Chandler Elementary,00820006,      29,  19.7,        571,  50.8,  49.2,   0.7,  14.4,5.6
Duxbury - Duxbury High,00820505,      54,  19.8,"      1,011",  50.0,  50.0,   0.1,   9.3,4.9
Duxbury - Duxbury Middle,00820305,      44,  22.6,        745,  48.2,  51.8,   0.4,  15.7,5.9
East Bridgewater - Central,00830005,      36,  16.7,        600,  52.2,  47.8,   1.0,  17.7,15.8
East Bridgewater - East Bridgewater JR./SR. High School,00830505,      73,  18.8,"      1,013",  51.4,  48.6,   0.8,  17.3,14
East Bridgewater - Gordon W Mitchell,00830010,      37,  17.9,        662,  43.1,  56.9,   0.9,  22.1,16.9
East Longmeadow - Birchland Park,00870305,      42,  18.2,        666,  46.5,  53.5,   1.7,  18.5,18.8
East Longmeadow - East Longmeadow High,00870505,      45,  19.5,        805,  50.4,  49.6,   0.7,  15.8,14.3
East Longmeadow - Mapleshade,00870010,      20,  14.0,        280,  49.3,  50.7,   2.9,  15.0,23.6
East Longmeadow - Meadow Brook,00870013,      26,  20.4,        530,  47.0,  53.0,   5.5,  14.5,18.9
East Longmeadow - Mountain View,00870015,      17,  16.9,        288,  49.0,  51.0,   1.7,  13.5,15.6
Eastham - Eastham Elementary,00850005,      13,  13.2,        171,  50.3,  49.7,   2.3,  18.7,17.5
Easthampton - Center School,00860005,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Easthampton - Easthampton High,00860505,      32,  16.7,        452,  53.5,  46.2,   2.0,  13.5,23.2
Easthampton - Maple,00860010,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Easthampton - Neil A Pepin,00860020,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Easthampton - White Brook Middle School,00860305,      27,  16.6,        448,  51.8,  48.0,   0.2,  18.5,26.1
Easton - Center School,00880003,      13,  19.4,        252,  42.1,  57.9,   6.7,  13.9,15.5
Easton - Easton Middle School,00880405,      48,  18.6,        893,  48.8,  51.2,   0.4,  21.8,11.3
Easton - Moreau Hall,00880020,      11,  19.2,        211,  46.4,  53.6,   5.2,  10.4,16.6
Easton - Oliver Ames High,00880505,      71,  18.2,"      1,181",  53.3,  46.7,   1.0,  15.2,10.8
Easton - Parkview Elementary,00880015,      15,  18.5,        277,  51.3,  48.7,   0.7,  13.4,7.9
Easton - Richardson Olmsted School,00880025,      36,  23.7,        854,  50.1,  49.9,   1.4,  17.6,12.2
Edgartown - Edgartown Elementary,00890005,      15,  14.3,        170,  51.2,  48.8,  14.1,  24.1,27.1
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District) - Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520505,      27,  15.0,        354,  62.1,  37.9,  15.0,  15.0,53.4
Erving - Erving Elementary,00910030,       2,  20.5,         41,  51.2,  48.8,   0.0,  24.4,24.4
Essex North Shore Agricultural and Technical School District - Essex Technical High School,08170505,      77,  18.8,"      1,359",  58.3,  41.6,   0.3,  16.3,16
Everett - Adams School,00930003,      16,  14.2,        227,  38.8,  61.2,  24.7,  15.9,46.7
Everett - Devens School,00930030,      17,   3.7,         63,  23.8,  76.2,   9.5,  79.4,69.8
Everett - Everett High,00930505,     121,  17.4,"      1,942",  48.7,  51.3,  21.4,  10.3,41
Everett - George Keverian School,00930028,      42,  21.1,        885,  48.9,  51.1,  16.8,  19.8,48.9
Everett - Lafayette School,00930038,      49,  19.1,        938,  51.5,  48.5,  18.2,  23.0,46.8
Everett - Madeline English School,00930018,      49,  16.8,        823,  50.3,  49.7,  15.1,  21.4,40.7
Everett - Parlin School,00930058,      46,  30.1,        834,  51.0,  49.0,  36.5,  12.2,54.6
Everett - Sumner G. Whittier School,00930010,      35,  21.5,        649,  49.8,  50.2,  37.1,  14.5,54.1
Everett - Webster School,00930015,      47,  15.8,        741,  44.7,  55.3,  25.8,  24.0,50.9
Excel Academy Charter (District) - Excel Academy Charter School,04100205,      55,  20.5,"      1,121",  50.8,  49.2,  15.2,  20.3,40.2
Fairhaven - East Fairhaven,00940010,      30,  22.4,        396,  45.5,  54.5,   4.3,  18.4,33.6
Fairhaven - Fairhaven High,00940505,      43,  18.3,        640,  52.5,  47.5,   1.4,  13.8,20.3
Fairhaven - Hastings Middle,00940305,      25,  18.9,        472,  48.1,  51.9,   0.4,  14.6,25.4
Fairhaven - Leroy Wood,00940030,      40,  18.5,        482,  50.0,  50.0,   2.7,  15.4,31.3
Fall River - B M C Durfee High,00950505,     130,  17.3,"      2,008",  48.8,  51.2,  13.9,  16.1,56.6
Fall River - Carlton M. Viveiros Elementary School,00950009,      40,  19.7,        784,  46.8,  53.2,  23.3,  16.7,74.9
Fall River - Fall River Gateway to College @ BCC,00950515,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Fall River - Henry Lord Community School,00950017,      41,  17.0,        674,  47.8,  52.2,  23.4,  27.9,80
Fall River - James Tansey,00950140,      13,  24.9,        324,  52.5,  47.5,   4.0,  15.1,42
Fall River - John J Doran,00950045,      27,  20.3,        547,  47.3,  52.7,  14.3,  24.9,77.9
Fall River - Letourneau Elementary School,00950013,      29,  22.1,        640,  50.3,  49.7,  37.7,  15.9,70.8
Fall River - Mary Fonseca Elementary School,00950011,      30,  25.0,        744,  48.9,  51.1,  27.0,  14.8,78.1
Fall River - Matthew J Kuss Middle,00950320,      57,  15.9,        725,  53.0,  47.0,   4.7,  20.7,60.6
Fall River - Morton Middle,00950315,      30,  19.3,        579,  44.9,  55.1,   8.8,  21.6,58.2
Fall River - North End Elementary,00950005,      41,  19.1,        785,  46.1,  53.9,  10.6,  25.6,57.6
Fall River - Resiliency Preparatory Academy,00950525,      32,   9.4,        186,  53.8,  46.2,   4.3,  29.0,81.7
Fall River - Samuel Watson,00950145,      12,  26.9,        321,  49.5,  50.5,  16.8,  13.1,78.8
Fall River - Spencer Borden,00950130,      36,  16.8,        605,  45.0,  55.0,  10.1,  26.9,59.3
Fall River - Stone PK-12 School,00950340,      11,   5.4,         54,  22.2,  77.8,   9.3,  96.3,90.7
Fall River - Talbot Innovation School,00950305,      33,  16.8,        522,  43.9,  56.1,  31.4,  21.6,73
Fall River - William S Greene,00950065,      40,  19.9,        796,  51.0,  49.0,  12.7,  22.0,69
Falmouth - East Falmouth Elementary,00960005,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Falmouth - Falmouth High,00960505,      56,  15.1,        800,  51.8,  48.1,   2.1,   9.3,21
Falmouth - Lawrence,00960405,      37,  17.6,        591,  47.4,  52.6,   2.9,  18.3,24.5
Falmouth - Morse Pond School,00960305,      21,  26.3,        553,  49.7,  50.3,   3.1,  21.9,28.6
Falmouth - Mullen-Hall,00960020,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Falmouth - North Falmouth Elementary,00960030,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Falmouth - Teaticket,00960015,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Farmington River Reg - Farmington River Elementary,06620020,       6,  13.2,         79,  38.0,  62.0,   0.0,  17.7,40.5
Fitchburg - Arthur M Longsjo Middle School,00970315,      52,  14.3,        589,  44.8,  55.2,   5.1,  24.6,63.8
Fitchburg - Crocker Elementary,00970016,      23,  24.7,        567,  45.7,  54.3,  17.1,  21.7,64
Fitchburg - Fitchburg High,00970505,      78,  17.0,"      1,097",  48.1,  51.9,  10.1,  19.8,51.6
Fitchburg - Goodrich Academy,00970510,      32,   7.6,        190,  44.7,  55.3,   5.8,  15.8,57.4
Fitchburg - McKay Arts Academy,00970340,      33,  19.8,        652,  54.0,  46.0,  11.2,  21.9,59.4
Fitchburg - Memorial Intermediate,00970048,      43,  22.6,        734,  50.0,  50.0,  16.9,  14.6,55
Fitchburg - Reingold Elementary,00970043,      30,  21.2,        637,  46.5,  53.5,  21.2,  22.4,57.9
Fitchburg - South Street Elementary,00970060,      33,  19.7,        642,  51.2,  48.8,  17.4,  24.3,66.8
Florida - Abbott Memorial,00980005,      11,   7.5,         82,  48.8,  51.2,   0.0,  31.7,24.4
Four Rivers Charter Public (District) - Four Rivers Charter Public School,04130505,      25,  17.0,        223,  49.3,  50.7,   0.0,  13.0,25.1
Foxborough - Charles Taylor Elementary,00990050,      12,  19.8,        238,  45.4,  54.6,   3.8,  16.8,10.1
Foxborough - Foxborough High,00990505,      54,  15.6,        796,  47.9,  52.1,   0.5,  14.8,14.2
Foxborough - John J Ahern,00990405,      66,  15.6,        839,  48.3,  51.7,   1.4,  21.2,14.2
Foxborough - Mabelle M Burrell,00990015,      12,  20.0,        240,  49.6,  50.4,   3.8,  17.1,11.7
Foxborough - Vincent M Igo Elementary,00990020,      21,  18.8,        395,  49.6,  50.4,   5.8,  21.5,19.7
Foxborough Regional Charter (District) - Foxborough Regional Charter School,04460550,      82,  18.8,"      1,483",  53.0,  46.9,  13.4,   8.1,18.4
Framingham - Barbieri Elementary,01000035,      37,  18.3,        672,  55.2,  44.8,  43.0,  22.0,44.2
Framingham - Brophy,01000006,      26,  18.3,        477,  49.9,  50.1,  43.2,  20.5,48.2
Framingham - Cameron Middle School,01000302,      33,  17.4,        562,  48.4,  51.6,  10.1,  27.4,37.2
Framingham - Charlotte A Dunning,01000007,      27,  17.5,        470,  46.6,  53.4,  18.1,  24.5,20.4
Framingham - Framingham High School,01000515,     147,  16.4,"      2,126",  49.5,  50.5,  13.2,  15.6,24.6
Framingham - Fuller Middle,01000305,      33,  17.5,        572,  48.6,  51.4,  34.3,  24.3,43.7
Framingham - Hemenway,01000015,      28,  20.0,        561,  50.3,  49.7,  16.4,  24.8,18.4
Framingham - Juniper Hill School,01000001,      43,   6.8,        293,  42.0,  58.0,  14.3,  47.4,28
Framingham - King Elementary School,01000005,      16,  17.0,        272,  46.7,  53.3,  23.5,  13.6,18.8
Framingham - Mary E Stapleton Elementary,01000045,      23,  16.3,        375,  46.1,  53.9,  13.1,  31.5,38.9
Framingham - Miriam F McCarthy School,01000050,      31,  18.3,        566,  49.6,  50.4,  22.8,  35.9,51.1
Framingham - Potter Road,01000039,      25,  20.6,        515,  49.3,  50.7,  28.3,  14.8,18.4
Framingham - Walsh Middle,01000310,      40,  18.8,        751,  46.7,  53.3,   6.1,  23.6,25.8
Framingham - Woodrow Wilson,01000055,      29,  20.1,        583,  49.6,  50.4,  60.9,  13.7,48.5
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,04780505,      39,  20.1,        396,  53.3,  46.2,   0.0,  13.9,4.3
Franklin - Annie Sullivan Middle School,01010040,      27,  16.4,        439,  46.7,  53.1,   1.1,  15.5,7.5
Franklin - Davis Thayer,01010035,      12,  18.7,        224,  47.8,  52.2,   4.0,  19.2,20.1
Franklin - Franklin Early Childhood Development Center,01010003,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Franklin - Franklin High,01010505,      90,  20.5,"      1,769",  49.7,  50.3,   0.3,  13.7,6.3
Franklin - Helen Keller Elementary,01010012,      20,  20.5,        409,  47.4,  52.6,   1.7,  18.3,9.5
Franklin - Horace Mann,01010405,      22,  21.1,        465,  51.2,  48.8,   0.0,  13.5,6.2
Franklin - J F Kennedy Memorial,01010013,      18,  20.4,        368,  47.0,  53.0,   1.4,  18.5,8.2
Franklin - Jefferson Elementary,01010010,      17,  20.2,        343,  45.2,  54.8,   2.9,  24.5,5.5
Franklin - Oak Street Elementary,01010030,      19,  21.1,        401,  45.4,  54.6,   0.7,  16.7,10.2
Franklin - Parmenter,01010032,      18,  18.6,        334,  48.2,  51.8,   3.3,  15.3,18.9
Franklin - Remington Middle,01010310,      27,  16.5,        445,  49.9,  50.1,   1.1,  20.9,10.6
Franklin County Regional Vocational Technical - Franklin County Technical,08180605,      43,  16.7,        474,  30.8,  69.2,   0.2,  31.4,33.1
Freetown-Lakeville - Apponequet Regional High,06650505,      48,  17.1,        743,  49.0,  51.0,   0.1,  12.5,9.6
Freetown-Lakeville - Assawompset Elementary School,06650002,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Freetown-Lakeville - Freetown Elementary School,06650001,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Freetown-Lakeville - Freetown-Lakeville Middle School,06650305,      57,  18.5,        746,  51.2,  48.8,   0.3,  16.6,16.8
Freetown-Lakeville - George R Austin Intermediate School,06650015,      24,  18.6,        446,  51.1,  48.9,   1.3,  15.0,17.5
Frontier - Frontier Regional,06700505,      55,  14.2,        607,  46.0,  54.0,   1.3,  18.8,18
Gardner - Elm Street School,01030001,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Gardner - Gardner Academy for Learning and Technology,01030515,       7,   9.7,         63,  44.4,  55.6,   1.6,  28.6,69.8
Gardner - Gardner High,01030505,      40,  18.1,        675,  46.4,  53.6,   3.1,  18.2,41.8
Gardner - Gardner Middle School,01030405,      31,  17.7,        548,  50.4,  49.6,   3.8,  23.5,50.4
Gardner - Waterford Street,01030020,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Gateway - Chester Elementary,06720059,       6,  17.7,        106,  39.6,  60.4,   0.0,  25.5,41.5
Gateway - Gateway Regional High,06720505,      21,  10.8,        194,  53.1,  46.9,   1.5,  12.9,21.6
Gateway - Gateway Regional Middle School,06720405,      14,  13.9,        195,  47.2,  52.8,   2.6,  17.4,27.7
Gateway - Littleville Elementary School,06720143,      14,  20.2,        283,  48.8,  51.2,   5.3,  20.5,30
Georgetown - Georgetown High School,01050505,      27,  16.2,        400,  51.8,  48.3,   0.0,  12.8,7.3
Georgetown - Georgetown Middle School,01050305,      15,  17.5,        227,  44.9,  55.1,   0.0,  14.1,10.1
Georgetown - Penn Brook,01050010,       6,  16.0,         96,  47.9,  52.1,   0.0,  17.7,9.4
Georgetown - Perley Elementary,01050005,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Gill-Montague - Gill Elementary,06740005,       7,  18.6,        130,  47.7,  52.3,   0.0,  15.4,28.5
Gill-Montague - Great Falls Middle,06740310,      35,  11.3,        240,  47.9,  52.1,   2.1,  26.7,42.9
Gill-Montague - Hillcrest Elementary School,06740015,      10,  16.0,        160,  43.1,  56.9,   6.9,  25.6,56.3
Gill-Montague - Sheffield Elementary School,06740050,      12,  18.0,        216,  48.6,  51.4,  10.6,  27.8,59.3
Gill-Montague - Turners Fall High,06740505,      20,  11.7,        188,  59.6,  40.4,   3.7,  18.6,30.3
Global Learning Charter Public (District) - Global Learning Charter Public School,04960305,      30,  16.7,        501,  50.1,  49.9,   9.4,  14.8,52.3
Gloucester - Beeman Memorial,01070010,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Gloucester - East Gloucester Elementary,01070020,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Gloucester - Gloucester High,01070505,      51,  15.7,        728,  47.0,  53.0,   4.0,  22.4,31.3
Gloucester - Gloucester PreSchool,01070025,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Gloucester - Plum Cove School,01070042,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Gloucester - Ralph B O'Maley Middle,01070305,      30,  21.9,        654,  47.2,  52.8,   3.1,  22.9,30.9
Gloucester - Veterans Memorial,01070045,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Gloucester - West Parish,01070050,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Gosnold - Cuttyhunk Elementary,01090005,       1,   2.0,          2,  50.0,  50.0,   0.0,   0.0,0
Grafton - Grafton High School,01100505,      49,  17.3,        801,  51.2,  48.8,   0.5,  10.7,8.5
Grafton - Grafton Middle,01100305,      27,  20.1,        530,  52.5,  47.5,   0.8,  15.7,8.7
Grafton - Millbury Street Elementary School,01100200,      37,  18.0,        663,  47.8,  52.2,   1.4,  20.8,12.1
Grafton - North Grafton Elementary,01100025,      12,  17.6,        211,  48.3,  51.7,   1.4,  18.5,12.8
Grafton - North Street Elementary School,01100030,      30,  19.8,        585,  45.6,  54.4,   1.0,  17.8,11.1
Grafton - South Grafton Elementary,01100005,      14,  18.0,        245,  41.6,  58.4,   3.7,  21.6,13.9
Granby - East Meadow,01110004,      11,  15.9,        150,  44.0,  56.0,   2.7,  14.0,19.3
Granby - Granby Jr Sr High School,01110505,      29,  15.9,        333,  44.1,  55.9,   3.6,  13.5,21
Granby - West Street,01110010,       7,   5.3,         37,  43.2,  56.8,  10.8,  32.4,43.2
Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,08210605,     134,  12.4,"      1,375",  44.1,  55.9,   2.2,   9.7,35.5
Greater Lawrence Regional Vocational Technical - Gr Lawrence Regional Vocational Technical,08230605,      86,  17.6,"      1,481",  50.2,  49.8,  12.4,  20.9,50.5
Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical,08280605,     125,  17.3,"      2,124",  44.8,  55.2,   6.2,  14.0,40.7
Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,08250605,     236,  14.7,"      2,134",  49.5,  50.5,   3.1,  10.5,36.5
Greenfield - Discovery School at Four Corners,01140025,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Greenfield - Federal Street School,01140010,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Greenfield - Greenfield High,01140505,      35,  15.0,        430,  45.6,  54.2,   5.6,  14.4,45.3
Greenfield - Greenfield Middle,01140305,      22,  17.4,        373,  48.8,  51.2,   4.8,  11.5,47.2
Greenfield - Newton School,01140035,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Greenfield - The Academy of Early Learning at North Parish,01140005,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Groton-Dunstable - Boutwell School,06730001,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Groton-Dunstable - Florence Roche School,06730010,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Groton-Dunstable - Groton Dunstable Regional,06730505,      63,  18.7,        772,  50.4,  49.6,   0.3,  10.8,3.9
Groton-Dunstable - Groton Dunstable Regional Middle,06730305,      49,  16.8,        766,  49.2,  50.8,   0.9,  17.9,6.8
Groton-Dunstable - Swallow/Union School,06730005,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Hadley - Hadley Elementary,01170015,      71,  15.7,        251,  46.6,  53.4,   4.0,  16.3,20.3
Hadley - Hopkins Academy,01170505,      18,  13.1,        232,  47.8,  52.2,   1.3,   9.5,12.5
Halifax - Halifax Elementary,01180005,      56,  21.6,        604,  49.7,  50.3,   0.8,  15.7,17.7
Hamilton-Wenham - Bessie Buker Elementary,06750007,      12,  21.6,        259,  45.9,  54.1,   1.9,  15.4,7.3
Hamilton-Wenham - Cutler School,06750010,      14,  20.9,        292,  49.7,  50.3,   1.7,  15.8,5.5
Hamilton-Wenham - Hamilton-Wenham Regional High,06750505,      31,  19.8,        550,  51.5,  48.5,   0.0,  11.6,4.7
Hamilton-Wenham - Miles River Middle,06750310,      25,  20.8,        381,  55.1,  44.9,   0.0,  18.6,5.5
Hamilton-Wenham - Winthrop School,06750015,      13,  20.0,        260,  54.2,  45.8,   0.0,  13.5,8.1
Hampden Charter School of Science East (District) - Hampden Charter School of Science East,04990305,      27,  18.1,        485,  52.0,  48.0,   3.3,  11.8,37.5
Hampden-Wilbraham - Green Meadows Elementary,06800005,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Hampden-Wilbraham - Mile Tree Elementary,06800025,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Hampden-Wilbraham - Minnechaug Regional High,06800505,      78,  20.1,"      1,064",  51.3,  48.7,   0.1,  12.0,11.4
Hampden-Wilbraham - Soule Road,06800030,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Hampden-Wilbraham - Stony Hill School,06800050,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Hampden-Wilbraham - Thornton Burgess,06800305,      10,  10.6,        106,  48.1,  51.9,   0.0,  26.4,25.5
Hampden-Wilbraham - Wilbraham Middle,06800310,      32,  19.2,        613,  50.9,  49.1,   0.2,  11.9,13.7
Hampshire - Hampshire Regional High,06830505,      66,  11.7,        671,  54.8,  45.2,   1.0,  21.0,15.2
Hancock - Hancock Elementary,01210005,       8,   5.4,         43,  39.5,  60.5,   0.0,   9.3,16.3
Hanover - Cedar Elementary,01220004,      23,  18.7,        429,  45.2,  54.8,   0.9,  25.2,8.9
Hanover - Center Elementary,01220005,      16,  20.9,        335,  48.1,  51.9,   1.2,  16.7,5.4
Hanover - Hanover High,01220505,      41,  19.2,        782,  46.4,  53.1,   0.3,  10.5,5.5
Hanover - Hanover Middle,01220305,      75,  19.5,        834,  48.1,  51.9,   1.2,  20.7,10.2
Hanover - Sylvester,01220015,      11,  20.7,        228,  49.6,  50.4,   0.9,  20.2,6.1
Harvard - Bromfield,01250505,      41,  18.3,        658,  48.9,  50.9,   0.6,  10.2,3.8
Harvard - Hildreth Elementary School,01250005,      24,  18.0,        433,  50.8,  49.2,   3.2,  10.9,3.9
Hatfield - Hatfield Elementary,01270005,      15,  14.4,        216,  47.2,  52.3,   0.0,  14.4,12.5
Hatfield - Smith Academy,01270505,      17,  10.7,        179,  48.6,  51.4,   0.0,  20.1,11.2
Haverhill - Bradford Elementary,01280008,      22,  14.1,        310,  46.5,  53.5,   6.1,  37.4,32.9
Haverhill - Caleb Dustin Hunking School,01280030,      53,  19.4,"      1,027",  48.5,  51.5,   2.4,  19.0,33.1
Haverhill - Consentino Annex at Bartlett School,01280005,       6,  19.2,        115,  45.2,  54.8,   3.5,   5.2,62.6
Haverhill - Consentino Middle School,01280100,      45,  22.0,        988,  49.5,  50.5,  15.3,  13.6,51.9
