2017-18 Attendance (School)  - All Students,,,,,,
School Name,School Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days
Braintree-Archie T Morrison,00400033,  96.0,   7.0,  25.6,  11.1,   0.0
Braintree-Donald Ross,00400050,  96.2,   6.7,  24.5,   5.9,   0.0
Braintree-East Middle School,00400305,  95.7,   7.5,  29.3,   8.4,   0.0
Braintree-South Middle School,00400310,  95.8,   7.5,  25.0,   7.2,   0.0
Braintree-Liberty,00400025,  96.3,   6.4,  20.5,   4.9,   0.0
Brewster-Eddy Elementary,00410010,  95.9,   7.4,  26.8,   4.9,   4.1
Brewster-Stony Brook Elementary,00410005,  94.6,   9.2,  41.1,  11.8,   6.1
Bridge Boston Charter School (District)-Bridge Boston Charter School,04170205,  95.2,   8.4,  33.1,  11.4,  17.0
Bridgewater-Raynham-Merrill Elementary School,06250020,  99.9,   0.2,   0.0,   0.0,   0.0
Bridgewater-Raynham-Laliberte Elementary School,06250050,  96.4,   6.4,  20.0,   2.7,   0.0
Bridgewater-Raynham-Williams Intermediate School,06250300,  95.3,   8.2,  35.8,   8.3,   0.0
Bridgewater-Raynham-Mitchell Elementary School,06250002,  96.7,   5.7,  18.8,   3.0,   0.0
Bridgewater-Raynham-Raynham Middle School,06250315,  95.3,   8.3,  30.0,   6.9,   0.0
Bridgewater-Raynham-Bridgewater-Raynham Regional,06250505,  93.9,  10.7,  45.5,  11.4,   0.0
Bridgewater-Raynham-Bridgewater Middle School,06250320,  94.8,   9.3,  39.5,  10.0,   0.0
Bridgewater-Raynham-Therapeutic Day School,06250415,  92.1,  14.0,  50.0,  35.7,   0.0
Brimfield-Brimfield Elementary,00430005,  95.8,   7.3,  25.3,   6.9,  25.3
Bristol County Agricultural-Bristol County Agricultural High,09100705,  99.4,   1.1,   0.7,   0.7,   0.0
Bristol-Plymouth Regional Vocational Technical-Bristol-Plymouth Vocational Technical,08100605,  95.6,   7.7,  27.4,   7.0,  27.4
Brockton-Brookfield,00440010,  94.1,  10.1,  41.2,  16.7,   0.0
Brockton-John F Kennedy,00440017,  95.0,   8.6,  33.6,  11.9,   0.0
Brockton-Manthala George Jr. School,00440003,  93.4,  11.1,  48.7,  23.7,   0.0
Brockton-Barrett Russell Early Childhood Center,00440008,  88.5,  17.1,  67.7,  41.5,   0.0
Brockton-Edgar B Davis,00440023,  94.1,  10.0,  42.8,  17.7,   0.0
Brockton-Hancock,00440045,  94.4,   9.6,  40.8,  15.1,   0.0
Brockton-Gilmore Elementary School,00440055,  93.9,  10.5,  44.8,  18.0,   0.0
Brockton-Louis F Angelo Elementary,00440065,  94.0,  10.3,  42.0,  19.1,   0.0
Brockton-Oscar F Raymond,00440078,  93.7,  10.9,  44.2,  22.3,   0.0
Brockton-Frederick Douglass Academy,00440080,  72.9,  36.8,  86.5,  89.2,   0.0
Brockton-Downey,00440110,  91.6,  13.9,  53.4,  32.3,   0.0
Brockton-Huntington Therapeutic Day School,00440400,  80.5,  32.1,  74.1,  62.1,   0.0
Brockton-East Middle School,00440405,  94.2,   9.7,  36.9,  17.4,   0.0
Brockton-Mary E. Baker School,00440002,  94.4,   9.6,  38.1,  17.4,   0.0
Brockton-Dr W Arnone Community School,00440001,  93.0,  12.1,  47.7,  24.5,   0.0
Brockton-North Middle School,00440410,  94.5,   9.3,  33.9,  16.0,   0.0
Brockton-South Middle School,00440415,  94.3,   9.9,  40.7,  18.0,   0.0
Brockton-Edison Academy,00440520,  91.5,   7.5,  27.1,  27.7,   0.0
Brockton-Brockton Champion High School,00440515,  81.2,  27.4,  73.7,  59.1,   0.0
Brockton-Brockton High,00440505,  92.1,  13.3,  47.6,  24.5,   0.0
Brockton-Joseph F. Plouffe Academy,00440422,  93.3,  11.8,  45.8,  19.3,   0.0
Brockton-Ashfield Middle School,00440421,  94.2,   9.9,  41.5,  18.8,   0.0
Brockton-West Middle School,00440420,  94.1,  10.2,  41.5,  18.7,   0.0
Brooke Charter School (District)-Brooke Charter School,04280305,  95.6,   8.2,  30.5,   7.7,   6.9
Brookfield-Brookfield Elementary,00450005,  96.2,   6.6,  24.9,   5.5,  12.3
Brookline-Brookline Early Education Program at Beacon,00460001,  99.7,   0.5,   1.3,   0.0,   1.3
Brookline-Brookline High,00460505,  95.9,   7.1,  21.5,   8.0,   3.6
Brookline-The Lynch Center,00460060,  94.7,   9.1,  35.2,  18.3,  35.2
Brookline-Pierce,00460040,  96.0,   6.9,  22.6,   5.4,   7.0
Brookline-William H Lincoln,00460035,  95.2,   8.5,  31.5,   8.6,  12.5
Brookline-Lawrence,00460030,  95.7,   7.4,  26.8,   7.9,  10.0
Brookline-Heath,00460025,  95.8,   7.3,  26.0,   5.6,  15.0
Brookline-Michael Driscoll,00460020,  95.8,   7.4,  26.0,   5.3,  14.9
Brookline-Edward Devotion,00460015,  95.1,   8.6,  33.9,  11.2,  19.3
Brookline-Brookline Early Education Program at Putterham,00460002,  97.7,   3.9,  12.3,   6.8,  12.3
Brookline-Edith C Baker,00460005,  96.2,   6.6,  23.9,   6.5,  11.7
Brookline-John D Runkle,00460045,  94.9,   9.0,  32.4,   9.3,  10.7
Burlington-Fox Hill,00480007,  95.8,   7.4,  28.8,   6.9,   5.2
Burlington-Memorial,00480015,  95.9,   7.2,  25.2,   5.8,   8.0
Burlington-Burlington High,00480505,  95.3,   7.9,  28.2,  12.1,   7.8
Burlington-Francis Wyman Elementary,00480035,  96.2,   6.6,  22.1,   4.4,   2.7
Burlington-Marshall Simonds Middle,00480303,  95.7,   7.7,  27.6,   8.0,   5.2
Burlington-Pine Glen Elementary,00480020,  95.9,   7.2,  28.9,   5.3,   5.3
Cambridge-John M Tobin,00490065,  94.6,   9.5,  38.7,  16.2,   4.0
Cambridge-Graham and Parks,00490080,  95.4,   7.5,  23.8,   8.6,   4.3
Cambridge-Fletcher/Maynard Academy,00490090,  94.9,   8.6,  33.8,  13.3,   8.1
Cambridge-Cambridge Street Upper School,00490305,  94.3,  10.2,  38.9,  15.1,  19.8
Cambridge-Putnam Avenue Upper School,00490310,  94.7,   9.2,  35.5,  17.6,  13.9
Cambridge-Rindge Avenue Upper School,00490315,  95.8,   7.3,  29.3,   7.6,   5.1
Cambridge-Vassal Lane Upper School,00490320,  96.6,   6.0,  20.1,   5.3,   3.2
Cambridge-Cambridge Rindge and Latin,00490506,  90.5,  16.3,  54.4,  31.6,  22.7
Cambridge-Maria L. Baldwin,00490005,  94.5,   9.7,  38.3,  14.5,   2.5
Cambridge-Amigos School,00490006,  95.6,   7.8,  30.1,   6.2,   3.0
Cambridge-Cambridgeport,00490007,  94.9,   8.8,  30.2,  11.4,  17.9
Cambridge-Haggerty,00490020,  95.6,   7.7,  29.3,   6.8,   4.6
Cambridge-Martin Luther King Jr.,00490030,  95.9,   7.2,  27.6,   8.5,   3.6
Cambridge-King Open,00490035,  95.0,   8.5,  37.1,  11.2,   5.6
Cambridge-Kennedy-Longfellow,00490040,  93.4,  10.5,  41.7,  24.9,  11.5
Cambridge-Morse,00490045,  94.9,   8.7,  34.7,  15.0,   4.4
Cambridge-Peabody,00490050,  95.7,   7.6,  30.3,   9.2,   5.2
Canton-Rodman Early Childhood Center,00500010,  94.8,   8.0,  26.4,  13.2,   0.0
Canton-Lt Peter M Hansen,00500012,  95.7,   7.6,  30.9,   5.8,   0.0
Canton-John F Kennedy,00500017,  96.4,   6.4,  19.4,   3.4,   0.0
Canton-Dean S Luce,00500020,  96.6,   6.0,  17.8,   3.7,   0.0
Canton-Canton High,00500505,  95.5,   8.0,  27.4,  10.6,   3.7
Canton-Wm H Galvin Middle,00500305,  95.9,   7.3,  24.4,   5.6,   3.0
Cape Cod Lighthouse Charter (District)-Cape Cod Lighthouse Charter School,04320530,  94.6,   9.6,  39.0,   8.5,  15.4
Cape Cod Regional Vocational Technical-Cape Cod Region Vocational Technical,08150605,  94.6,   9.3,  35.8,  14.2,  11.9
Carlisle-Carlisle School,00510025,  96.1,   6.8,  23.6,   4.8,   3.3
Carver-Carver Elementary School,00520015,  95.4,   7.9,  31.7,   8.5,  28.7
Carver-Carver Middle/High School,00520405,  95.3,   8.1,  29.8,  10.7,  23.7
Central Berkshire-Becket Washington School,06350005,  95.3,   8.1,  33.3,   9.8,   0.0
Central Berkshire-Craneville,06350025,  96.0,   6.9,  25.3,   7.3,   0.0
Central Berkshire-Wahconah Regional High,06350505,  95.0,   8.8,  30.0,  11.0,   0.0
Central Berkshire-Nessacus Regional Middle School,06350305,  95.8,   7.4,  25.8,   9.3,   0.0
Central Berkshire-Kittredge,06350035,  95.7,   7.4,  30.2,   9.3,   0.0
Chelmsford-Community Education Center,00560001,  93.4,   9.7,  32.8,  21.3,   8.6
Chelmsford-Charles D Harrington,00560025,  95.7,   7.3,  25.4,   9.3,  11.5
Chelmsford-Byam School,00560030,  96.6,   5.8,  16.1,   5.0,   5.2
Chelmsford-McCarthy Middle School,00560310,  96.4,   6.2,  19.9,   5.3,   2.5
Chelmsford-Chelmsford High,00560505,  95.6,   7.6,  25.0,   8.3,   6.5
Chelmsford-Center Elementary School,00560005,  96.3,   6.4,  22.2,   5.9,   7.6
Chelmsford-South Row,00560015,  96.8,   5.5,  15.7,   3.9,   2.2
Chelmsford-Col Moses Parker School,00560305,  96.7,   5.7,  19.3,   4.0,   2.8
Chelsea-George F. Kelly Elementary,00570035,  96.1,   6.9,  22.6,   5.6,  22.6
Chelsea-Frank M Sokolowski Elementary,00570040,  93.8,  10.5,  38.7,  17.3,  38.7
Chelsea-Eugene Wright Science and Technology Academy,00570045,  94.3,   9.9,  38.3,  18.2,  37.0
Chelsea-Joseph A. Browne School,00570055,  93.2,  11.3,  42.8,  23.3,  40.2
Chelsea-Chelsea High,00570505,  86.5,  22.1,  58.3,  42.2,  39.9
Chelsea-William A Berkowitz Elementary,00570025,  94.5,   9.4,  36.8,  14.3,  36.8
Chelsea-Shurtleff Early Childhood,00570003,  92.8,  11.4,  52.0,  22.2,  52.0
Chelsea-Clark Avenue School,00570050,  95.4,   8.1,  30.0,  11.0,  30.0
Chelsea-Edgar A Hooks Elementary,00570030,  95.3,   7.7,  29.5,   9.4,  29.5
Chesterfield-Goshen-New Hingham Regional Elementary,06320025,  95.6,   7.7,  31.9,   5.0,   0.7
Chicopee-Chicopee High,00610505,  92.7,  12.2,  44.1,  24.0,  37.4
Chicopee-Dupont Middle,00610310,  93.5,  11.1,  46.3,  20.2,  36.1
Chicopee-Bellamy Middle,00610305,  94.6,   9.2,  38.4,  11.2,  26.0
Chicopee-Gen John J Stefanik,00610090,  93.9,  10.3,  46.0,  18.7,  33.5
Chicopee-Streiber Memorial School,00610065,  95.6,   7.7,  29.3,   9.3,  20.0
Chicopee-Fairview Elementary,00610050,  93.6,  10.9,  47.1,  21.6,  36.1
Chicopee-Lambert-Lavoie,00610040,  95.5,   7.8,  28.0,   9.7,  20.8
Chicopee-Litwin,00610022,  94.5,   9.5,  40.7,  13.7,  29.4
Chicopee-Chicopee Academy,00610021,  70.3,  42.6,  89.2,  81.9,  81.9
Chicopee-Bowie,00610020,  95.6,   7.5,  29.3,   5.5,  18.4
Chicopee-Belcher,00610010,  93.7,  10.6,  49.0,  16.6,  36.9
Chicopee-Barry,00610003,  94.7,   9.1,  38.4,  11.7,  28.1
Chicopee-Szetela Early Childhood Center,00610001,  90.2,  15.3,  56.8,  37.0,  49.5
Chicopee-Chicopee Comprehensive High School,00610510,  94.4,   9.6,  33.9,  15.0,  24.2
Chicopee-Bowe,00610015,  93.1,  11.6,  50.0,  21.6,  41.4
Christa McAuliffe Charter Public (District)-Christa McAuliffe Charter Public School,04180305,  95.9,   7.3,  26.4,   6.5,  19.4
City on a Hill Charter Public School Circuit Street (District)-City on a Hill Charter Public School Circuit Street,04370505,  93.2,  11.7,  38.7,  21.1,  29.2
City on a Hill Charter Public School Dudley Square (District)-City on a Hill Charter Public School Dudley Square,35040505,  92.3,  13.0,  41.3,  22.5,  32.2
City on a Hill Charter Public School New Bedford (District)-City on a Hill Charter Public School New Bedford,35070505,  88.7,  19.3,  56.1,  34.3,  48.5
Clarksburg-Clarksburg Elementary,00630010,  95.8,   7.5,  30.9,   6.8,   2.6
Clinton-Clinton Middle School,00640305,  95.1,   8.6,  34.2,  11.9,   0.0
Clinton-Clinton Senior High,00640505,  93.7,  10.6,  46.8,  20.4,   0.2
Clinton-Clinton Elementary,00640050,  94.5,   9.2,  36.8,  14.0,   0.0
Codman Academy Charter Public (District)-Codman Academy Charter Public School,04380505,  92.9,  13.5,  56.6,  19.6,  25.4
Cohasset-Joseph Osgood,00650010,  95.8,   7.4,  27.9,   4.3,  27.4
Cohasset-Cohasset Middle/High School,00650505,  95.4,   8.1,  29.9,   6.7,  16.2
Cohasset-Deer Hill,00650005,  96.3,   6.6,  24.0,   2.8,   7.4
Collegiate Charter School of Lowell (District)-Collegiate Charter School of Lowell,35030205,  96.5,   6.4,  22.1,   5.6,   7.9
Community Charter School of Cambridge (District)-Community Charter School of Cambridge,04360305,  94.6,   9.4,  34.0,  14.1,   4.3
Community Day Charter Public School - Gateway (District)-Community Day Charter Public School - Gateway,04260205,  96.6,   6.1,  19.4,   4.3,   0.0
Community Day Charter Public School - Prospect (District)-Community Day Charter Public School - Prospect,04400205,  96.1,   6.9,  27.9,   6.2,   0.0
Community Day Charter Public School - R. Kingman Webster (District)-Community Day Charter Public School - R. Kingman Webster,04310205,  96.3,   6.7,  23.6,   5.3,   0.0
Concord-Concord Middle,00670305,  96.3,   6.5,  21.1,   5.5,   1.8
Concord-Willard,00670030,  96.6,   5.9,  19.5,   1.6,   4.7
Concord-Alcott,00670005,  96.1,   6.8,  21.3,   4.8,   6.2
Concord-Thoreau,00670020,  96.4,   6.3,  21.4,   4.9,   6.4
Concord-Carlisle-Concord Carlisle High,06400505,  95.3,   8.3,  31.1,   9.4,   0.4
Conservatory Lab Charter (District)-Conservatory Lab Charter School,04390050,  95.1,   8.3,  32.1,  12.4,  21.6
Conway-Conway Grammar,00680005,  96.5,   6.2,  18.9,   2.8,  10.5
Danvers-Ivan G Smith,00710032,  95.7,   7.5,  30.5,   5.3,   0.0
Danvers-Willis E Thorpe,00710045,  95.9,   7.3,  27.2,   6.0,   0.0
Danvers-Holten Richmond Middle School,00710305,  95.7,   7.6,  24.7,   8.8,   2.9
Danvers-Danvers High,00710505,  93.5,  11.5,  46.3,  19.1,   6.7
Danvers-Great Oak,00710015,  95.6,   7.8,  31.2,   6.6,   0.0
Danvers-Highlands,00710010,  95.0,   8.7,  35.0,   8.8,   0.0
Danvers-Riverside,00710030,  96.1,   6.7,  21.8,   6.7,   0.0
Dartmouth-Andrew B. Cushman School,00720005,  95.3,   8.2,  31.8,   5.8,  24.7
Dartmouth-George H Potter,00720030,  96.4,   6.4,  21.4,   4.4,  15.6
Dartmouth-James M. Quinn School,00720040,  96.5,   6.2,  19.6,   4.2,  11.7
Dartmouth-Dartmouth Middle,00720050,  96.3,   6.5,  20.5,   5.6,  11.2
Dartmouth-Dartmouth High,00720505,  95.5,   7.8,  23.7,   9.8,  15.4
Dartmouth-Joseph Demello,00720015,  96.8,   5.7,  17.4,   2.3,   7.9
Dedham-Dedham High,00730505,  91.0,  15.4,  51.0,  26.5,  17.8
Dedham-Dedham Middle School,00730305,  95.4,   8.2,  29.2,  10.2,  26.0
Dedham-Riverdale,00730045,  96.0,   7.1,  21.6,   4.7,   0.0
Dedham-Oakdale,00730030,  96.1,   6.8,  22.4,   6.9,   0.0
Dedham-Greenlodge,00730025,  96.8,   5.7,  15.5,   2.6,   0.0
Dedham-Avery,00730010,  95.8,   7.3,  28.2,   6.3,   0.0
Dedham-Early Childhood Center,00730005,  93.8,   9.9,  40.8,  16.3,   0.0
Deerfield-Deerfield Elementary,00740015,  95.5,   8.0,  32.4,   6.3,   2.2
Dennis-Yarmouth-Station Avenue Elementary,06450025,  95.3,   8.2,  31.1,   9.2,  31.1
Dennis-Yarmouth-N H Wixon Innovation School,06450050,  95.7,   7.5,  28.1,   8.8,   0.0
Dennis-Yarmouth-Mattacheese Middle School,06450305,  94.7,   9.1,  34.9,  15.8,  34.9
Dennis-Yarmouth-Marguerite E Small Elementary,06450015,  94.8,   7.4,  26.8,  17.4,  26.5
Dennis-Yarmouth-Ezra H Baker Innovation School,06450005,  95.2,   7.8,  31.0,  13.9,  13.0
Dennis-Yarmouth-Dennis-Yarmouth Regional High,06450505,  91.5,  14.5,  49.8,  28.4,  34.9
Dighton-Rehoboth-Dighton Middle School,06500305,  95.7,   7.7,  28.6,   6.5,  19.4
Dighton-Rehoboth-Palmer River,06500010,  95.8,   7.5,  24.3,   4.6,  16.8
Dighton-Rehoboth-Dorothy L Beckwith,06500310,  95.4,   8.2,  31.9,   7.1,  23.9
Dighton-Rehoboth-Dighton Elementary,06500005,  95.5,   8.0,  29.7,   6.4,  26.3
Dighton-Rehoboth-Dighton-Rehoboth Regional High School,06500505,  93.7,  11.0,  38.9,  15.6,  26.6
Douglas-Douglas Middle School,00770305,  95.4,   8.1,  31.3,   9.7,  19.6
Douglas-Douglas Primary School,00770005,  95.1,   7.3,  26.4,  12.1,  21.8
Douglas-Douglas Elementary School,00770015,  95.5,   7.8,  30.2,   8.4,   7.3
Douglas-Douglas High School,00770505,  94.4,   9.8,  38.6,  13.0,  17.9
Dover-Chickering,00780005,  95.9,   7.3,  25.9,   4.4,  21.7
Dover-Sherborn-Dover-Sherborn Regional Middle School,06550405,  96.4,   6.4,  20.9,   2.8,  19.8
Dover-Sherborn-Dover-Sherborn Regional High,06550505,  96.1,   6.7,  17.6,   4.8,  11.0
Dracut-George H. Englesby Elementary School,00790045,  94.9,   8.8,  34.5,  11.4,   9.7
Dracut-Greenmont Avenue,00790030,  95.3,   8.2,  30.5,  14.9,  24.8
Dracut-Brookside Elementary,00790035,  94.9,   8.9,  35.7,  11.0,  11.9
Dracut-Joseph A Campbell Elementary,00790020,  94.7,   9.1,  34.4,  14.0,  33.6
Dracut-Dracut Senior High,00790505,  93.5,  11.0,  42.2,  15.6,  11.5
Dracut-Justus C. Richardson Middle School,00790410,  94.5,   9.7,  41.3,  12.7,  11.6
Dudley Street Neighborhood Charter School (District)-Dudley Street Neighborhood Charter School,04070405,  95.3,   8.2,  35.4,   9.8,   0.0
Dudley-Charlton Reg-Shepherd Hill Regional High,06580505,  95.2,   8.3,  28.0,  10.9,  17.9
Dudley-Charlton Reg-Dudley Elementary,06580005,  96.6,   6.1,  20.6,   3.3,  16.5
Dudley-Charlton Reg-Mason Road School,06580010,  96.0,   6.9,  23.5,   5.1,  17.7
Dudley-Charlton Reg-Charlton Elementary,06580020,  96.3,   6.4,  19.7,   4.2,  14.7
Dudley-Charlton Reg-Dudley Middle School,06580305,  96.6,   6.0,  19.6,   3.7,  10.5
Dudley-Charlton Reg-Heritage School,06580030,  96.6,   6.0,  17.6,   1.4,   7.0
Dudley-Charlton Reg-Charlton Middle School,06580310,  96.3,   6.5,  21.2,   5.3,  12.0
Duxbury-Alden School,00820004,  96.3,   6.7,  22.5,   3.4,   6.9
Duxbury-Chandler Elementary,00820006,  96.0,   6.9,  24.4,   3.7,   8.7
Duxbury-Duxbury Middle,00820305,  96.2,   6.8,  17.2,   3.8,   9.0
Duxbury-Duxbury High,00820505,  95.2,   8.4,  22.3,   7.7,   3.5
East Bridgewater-East Bridgewater JR./SR. High School,00830505,  93.9,  10.8,  42.2,  20.8,  25.0
East Bridgewater-Central,00830005,  95.8,   7.4,  27.6,   6.3,  18.7
East Bridgewater-Gordon W Mitchell,00830010,  95.9,   7.2,  27.3,   8.0,  24.7
East Longmeadow-East Longmeadow High,00870505,  94.3,  10.1,  35.8,  13.2,   0.0
East Longmeadow-Mapleshade,00870010,  96.8,   5.7,  18.9,   3.8,   0.0
East Longmeadow-Meadow Brook,00870013,  95.7,   7.6,  27.7,   6.4,   0.0
East Longmeadow-Mountain View,00870015,  96.7,   5.8,  18.6,   3.4,   0.0
East Longmeadow-Birchland Park,00870305,  96.2,   6.7,  21.9,   5.8,   0.0
Eastham-Eastham Elementary,00850005,  93.5,  11.1,  52.1,  16.5,  13.3
Easthampton-Maple,00860010,  95.1,   8.2,  30.2,  10.2,   8.0
Easthampton-Center School,00860005,  95.2,   8.5,  32.7,  11.2,  19.0
Easthampton-Neil A Pepin,00860020,  95.1,   8.4,  30.2,   9.5,  30.2
Easthampton-White Brook Middle School,00860305,  95.4,   8.2,  32.0,   9.8,   0.0
Easthampton-Easthampton High,00860505,  93.0,  12.3,  43.4,  16.8,  12.8
Easton-Easton Middle School,00880405,  96.0,   7.1,  24.4,   6.4,   5.1
Easton-Oliver Ames High,00880505,  95.1,   8.6,  29.1,   8.8,   7.6
Easton-Moreau Hall,00880020,  95.7,   7.4,  26.0,   6.5,  13.9
Easton-Parkview Elementary,00880015,  95.9,   7.0,  23.5,   6.2,  23.5
Easton-Richardson Olmsted School,00880025,  96.3,   6.6,  23.1,   4.2,   4.1
Easton-Center School,00880003,  95.9,   6.9,  21.2,   6.8,  21.2
Edgartown-Edgartown Elementary,00890005,  94.7,   8.9,  36.0,  14.1,  10.6
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District)-Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520505,  91.8,  14.1,  54.7,  28.3,  29.3
Erving-Erving Elementary,00910030,  94.1,  10.4,  34.9,  15.8,   0.0
Essex North Shore Agricultural and Technical School District-Essex Technical High School,08170505,  94.0,  10.4,  40.1,  16.9,  27.3
Everett-Devens School,00930030,  79.5,  29.1,  63.8,  53.6,  60.9
Everett-George Keverian School,00930028,  95.4,   8.0,  33.6,   9.9,  33.6
Everett-Madeline English School,00930018,  94.6,   9.3,  37.5,  14.4,  37.5
Everett-Everett High,00930505,  91.1,  15.2,  48.5,  29.0,  32.1
Everett-Sumner G. Whittier School,00930010,  94.7,   9.1,  36.5,  13.5,  32.8
Everett-Adams School,00930003,  89.1,  17.3,  66.3,  44.0,  65.9
Everett-Lafayette School,00930038,  94.7,   9.4,  38.8,  14.6,  38.7
Everett-Parlin School,00930058,  95.3,   8.1,  31.8,  10.9,  29.2
Everett-Webster School,00930015,  92.7,  12.7,  50.1,  25.2,  50.1
Excel Academy Charter (District)-Excel Academy Charter School,04100205,  95.5,   8.2,  29.7,   9.6,   9.8
Fairhaven-Fairhaven High,00940505,  94.6,   9.4,  29.2,  13.6,  14.2
Fairhaven-East Fairhaven,00940010,  95.8,   7.3,  23.8,   6.8,  13.1
Fairhaven-Hastings Middle,00940305,  95.8,   7.4,  25.6,   9.1,   9.8
Fairhaven-Leroy Wood,00940030,  96.2,   6.6,  20.9,   5.4,   9.8
Fall River-Mary Fonseca Elementary School,00950011,  93.0,  11.8,  54.7,  23.1,  44.2
Fall River-Fall River Gateway to College @ BCC,00950515,,,,,
Fall River-B M C Durfee High,00950505,  90.1,  16.3,  62.4,  38.9,  49.9
Fall River-Stone PK-12 School,00950340,  86.6,  21.2,  65.0,  47.5,  57.5
Fall River-Matthew J Kuss Middle,00950320,  92.8,  12.5,  53.3,  24.1,  38.8
Fall River-Morton Middle,00950315,  93.7,  10.8,  47.7,  16.1,  33.0
Fall River-Talbot Innovation School,00950305,  93.0,  11.6,  51.5,  23.5,  35.9
Fall River-Samuel Watson,00950145,  94.0,   9.7,  45.1,  19.4,  29.8
Fall River-North End Elementary,00950005,  92.8,  12.1,  52.0,  24.0,  41.2
Fall River-Carlton M. Viveiros Elementary School,00950009,  92.2,  13.2,  59.0,  30.8,  49.3
Fall River-Resiliency Preparatory Academy,00950525,  72.6,  38.7,  82.2,  76.5,  80.8
Fall River-Letourneau Elementary School,00950013,  94.0,   9.9,  47.5,  18.0,  33.7
Fall River-Henry Lord Community School,00950017,  92.5,  12.5,  54.8,  27.8,  39.1
Fall River-John J Doran,00950045,  93.0,  12.1,  54.4,  22.9,  40.3
Fall River-William S Greene,00950065,  92.5,  12.5,  54.1,  27.3,  45.0
Fall River-Spencer Borden,00950130,  94.2,  10.1,  44.1,  13.8,  32.9
Fall River-James Tansey,00950140,  94.1,  10.4,  48.3,  14.4,  33.2
Falmouth-East Falmouth Elementary,00960005,  95.4,   8.3,  33.2,  10.4,  29.7
Falmouth-Teaticket,00960015,  94.1,  10.0,  42.7,  15.4,  37.0
Falmouth-Falmouth High,00960505,  92.5,  12.9,  48.5,  23.1,  28.9
Falmouth-Lawrence,00960405,  94.2,  10.2,  38.2,  15.5,  24.5
Falmouth-Morse Pond School,00960305,  95.3,   8.3,  33.3,   8.0,  25.0
Falmouth-North Falmouth Elementary,00960030,  95.8,   7.4,  26.3,   5.2,  22.9
Falmouth-Mullen-Hall,00960020,  95.2,   8.3,  33.7,   7.4,  30.1
Farmington River Reg-Farmington River Elementary,06620020,  94.2,  10.0,  43.1,  10.0,  12.3
Fitchburg-Crocker Elementary,00970016,  92.9,  11.1,  50.5,  26.5,  29.3
Fitchburg-Reingold Elementary,00970043,  93.3,  10.8,  46.3,  22.4,  23.3
Fitchburg-Memorial Intermediate,00970048,  93.3,  11.3,  46.8,  21.8,  27.5
Fitchburg-South Street Elementary,00970060,  93.1,  11.2,  46.4,  20.7,  37.3
Fitchburg-Arthur M Longsjo Middle School,00970315,  92.3,  12.8,  49.4,  28.0,  32.0
Fitchburg-McKay Arts Academy,00970340,  92.5,  12.7,  53.0,  26.2,  28.3
Fitchburg-Fitchburg High,00970505,  91.1,  14.4,  53.2,  33.4,  42.9
Fitchburg-Goodrich Academy,00970510,  92.9,   8.1,  31.9,  25.0,  25.8
Florida-Abbott Memorial,00980005,  96.0,   6.6,  21.2,   7.1,   0.0
Four Rivers Charter Public (District)-Four Rivers Charter Public School,04130505,  92.9,  12.6,  52.2,  21.0,   0.0
Foxborough-Mabelle M Burrell,00990015,  96.3,   6.4,  18.8,   3.3,   0.0
Foxborough-Vincent M Igo Elementary,00990020,  95.9,   7.1,  25.0,   5.2,   0.0
Foxborough-Charles Taylor Elementary,00990050,  96.1,   6.8,  23.9,   4.9,   0.0
Foxborough-John J Ahern,00990405,  95.4,   8.2,  29.2,   8.5,   0.0
Foxborough-Foxborough High,00990505,  95.3,   8.2,  28.0,   8.3,   0.0
Foxborough Regional Charter (District)-Foxborough Regional Charter School,04460550,  95.6,   7.8,  28.4,   7.5,  14.4
Framingham-Juniper Hill School,01000001,  91.5,  10.5,  37.5,  31.1,   4.9
Framingham-Fuller Middle,01000305,  94.2,   9.7,  36.8,  17.2,  25.4
Framingham-Walsh Middle,01000310,  95.6,   7.7,  25.7,   8.7,  14.5
Framingham-Framingham High School,01000515,  92.9,  12.2,  40.1,  20.6,  31.3
Framingham-Cameron Middle School,01000302,  94.7,   9.1,  32.9,  11.9,  16.0
Framingham-King Elementary School,01000005,  95.2,   8.2,  30.8,   9.0,   6.2
Framingham-Brophy,01000006,  94.5,   9.1,  38.1,  16.6,  19.1
Framingham-Charlotte A Dunning,01000007,  96.1,   6.8,  23.3,   6.5,   3.5
Framingham-Hemenway,01000015,  95.7,   7.6,  28.0,   5.6,  10.6
Framingham-Barbieri Elementary,01000035,  95.7,   7.5,  29.7,   8.1,  12.1
Framingham-Potter Road,01000039,  96.4,   6.2,  20.3,   4.2,   9.1
Framingham-Mary E Stapleton Elementary,01000045,  95.0,   8.8,  32.6,  12.1,  10.8
Framingham-Woodrow Wilson,01000055,  95.4,   7.5,  28.5,  10.5,   7.1
Framingham-Miriam F McCarthy School,01000050,  94.9,   8.7,  33.2,  13.0,  14.0
Francis W. Parker Charter Essential (District)-Francis W. Parker Charter Essential School,04780505,  95.0,   8.9,  35.2,  10.2,   0.2
Franklin-Remington Middle,01010310,  95.5,   8.0,  28.9,   8.5,  23.9
