2017-18 Attendance (School)  - All Students,,,,,,
School Name,School Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days
Ashland-Ashland Middle,00140405,  96.6,   6.0,  17.6,   4.9,   0.0
Ashland-David Mindess,00140015,  96.4,   6.3,  19.8,   5.0,   0.0
Ashland-Henry E Warren Elementary,00140010,  95.9,   7.2,  24.9,   6.8,   3.0
Ashland-William Pittaway Elementary,00140005,  95.7,   7.0,  21.1,   7.7,   0.0
Ashland-Ashland High,00140505,  96.2,   6.5,  19.0,   7.4,  10.9
Assabet Valley Regional Vocational Technical-Assabet Valley Vocational High School,08010605,  94.9,   9.0,  32.6,  12.2,  25.9
Athol-Royalston-Royalston Community School,06150050,  93.7,  11.1,  51.8,  18.4,   9.9
Athol-Royalston-Athol Community Elementary School,06150020,  92.2,  13.2,  53.3,  27.2,   8.7
Athol-Royalston-Athol High,06150505,  90.5,  16.1,  57.6,  32.2,  41.8
Athol-Royalston-Athol-Royalston Middle School,06150305,  93.2,  11.8,  42.8,  23.1,  31.7
Atlantis Charter (District)-Atlantis Charter School,04910550,  93.9,  10.8,  43.7,  18.6,  26.7
Attleboro-Attleboro Community Academy,00160515,  96.8,   5.0,  17.9,   7.5,  17.9
Attleboro-A. Irvin Studley Elementary School,00160001,  96.3,   6.5,  25.4,   5.6,   8.1
Attleboro-Early Learning Center,00160008,  91.6,   9.8,  36.3,  26.5,  27.4
Attleboro-Thomas Willett Elementary School,00160035,  95.5,   7.6,  27.6,   9.4,   6.1
Attleboro-Hyman Fine Elementary School,00160040,  96.0,   6.9,  24.5,   5.7,   5.7
Attleboro-Attleboro High,00160505,  93.5,  11.2,  37.9,  17.1,  17.2
Attleboro-Wamsutta Middle School,00160320,  95.6,   7.8,  30.8,   7.8,   9.0
Attleboro-Cyril K. Brennan Middle School,00160315,  95.0,   8.6,  33.8,  15.5,  26.9
Attleboro-Hill-Roberts Elementary School,00160045,  95.2,   8.2,  32.3,   9.6,  22.1
Attleboro-Peter Thacher Elementary School,00160050,  95.0,   8.6,  32.7,  12.5,  18.4
Attleboro-Robert J. Coelho Middle School,00160305,  95.6,   7.8,  28.4,   9.6,  19.3
Auburn-Bryn Mawr,00170010,  96.0,   7.1,  25.2,   3.9,  16.7
Auburn-Pakachoag School,00170025,  95.0,   8.8,  32.9,  10.1,  20.6
Auburn-Auburn Senior High,00170505,  94.3,   9.7,  37.8,  14.5,  19.7
Auburn-Auburn Middle,00170305,  95.7,   7.6,  26.1,   8.0,  16.4
Auburn-Swanson Road Intermediate School,00170030,  96.1,   7.0,  23.9,   4.3,  14.3
Avon-Avon Middle High School,00180510,  94.8,   9.0,  33.0,  13.5,  17.0
Avon-Ralph D Butler,00180010,  95.3,   8.2,  31.8,  11.1,  23.7
Ayer Shirley School District-Lura A. White Elementary School,06160001,  96.1,   6.9,  21.9,   5.6,   0.0
Ayer Shirley School District-Ayer Shirley Regional High School,06160505,  93.5,  11.0,  40.0,  14.8,  25.8
Ayer Shirley School District-Ayer Shirley Regional Middle School,06160305,  94.4,   9.8,  40.5,  13.5,   0.3
Ayer Shirley School District-Page Hilltop Elementary School,06160002,  95.5,   7.9,  27.8,   6.6,   1.5
Barnstable-Enoch Cobb Early Learning Center,00200001,  91.2,   8.9,  35.3,  30.5,  33.7
Barnstable-West Barnstable Elementary,00200005,  95.0,   8.6,  33.8,  10.9,  16.2
Barnstable-Centerville Elementary,00200010,  94.5,   9.6,  42.2,  13.3,  11.1
Barnstable-West Villages Elementary School,00200045,  94.9,   9.0,  38.8,  10.5,  11.9
Barnstable-Barnstable United Elementary School,00200050,  94.5,   9.6,  39.1,  12.9,  20.2
Barnstable-Hyannis West Elementary,00200025,  94.1,   9.5,  42.1,  17.4,  34.2
