2018 MCAS Achievement Results,,,,,,,,,,,,,,,,
School Name,School Code,Subject,P+A #,P+A %,A #,A %,P #,P %,NI #,NI %,W/F #,W/F %,No. of Students Included,CPI,Ave. SGP,Included In Ave. SGP
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,SCIENCE AND TECH/ENG,206,76,61,23,145,54,56,21,8,3,270,  90.8,N/A,N/A
Athol-Royalston - Athol High,06150505,ENGLISH LANGUAGE ARTS,77,89,22,25,55,63,7,8,3,3,87,  95.1,  47.0,74
Athol-Royalston - Athol High,06150505,MATHEMATICS,55,65,17,20,38,45,21,25,9,11,85,  82.4,  47.2,74
Athol-Royalston - Athol High,06150505,SCIENCE AND TECH/ENG,41,56,8,11,33,45,26,36,6,8,73,  81.2,N/A,N/A
Atlantis Charter (District) - Atlantis Charter School,04910550,ENGLISH LANGUAGE ARTS,52,85,18,30,34,56,8,13,1,2,61,  94.3,  39.6,51
Atlantis Charter (District) - Atlantis Charter School,04910550,MATHEMATICS,36,60,19,32,17,28,13,22,11,18,60,  77.1,  33.8,49
Atlantis Charter (District) - Atlantis Charter School,04910550,SCIENCE AND TECH/ENG,34,72,10,21,24,51,11,23,2,4,47,  88.3,N/A,N/A
Attleboro - Attleboro High,00160505,ENGLISH LANGUAGE ARTS,372,89,186,44,186,44,37,9,11,3,420,  96.3,  36.2,380
Attleboro - Attleboro High,00160505,MATHEMATICS,324,77,215,51,109,26,60,14,37,9,421,  89.5,  42.4,383
Attleboro - Attleboro High,00160505,SCIENCE AND TECH/ENG,299,74,89,22,210,52,83,21,20,5,402,  89.4,N/A,N/A
Auburn - Auburn Senior High,00170505,ENGLISH LANGUAGE ARTS,163,92,87,49,76,43,10,6,5,3,178,  97.2,  32.8,168
Auburn - Auburn Senior High,00170505,MATHEMATICS,149,84,86,49,63,36,23,13,5,3,177,  94.9,  46.1,168
Auburn - Auburn Senior High,00170505,SCIENCE AND TECH/ENG,136,82,59,36,77,46,25,15,5,3,166,  93.5,N/A,N/A
Avon - Avon Middle High School,00180510,ENGLISH LANGUAGE ARTS,45,94,29,60,16,33,3,6,0,0,48,  98.4,  60.4,44
Avon - Avon Middle High School,00180510,MATHEMATICS,35,71,24,49,11,22,8,16,6,12,49,  84.7,  43.9,45
Avon - Avon Middle High School,00180510,SCIENCE AND TECH/ENG,31,70,12,27,19,43,11,25,2,5,44,  87.5,N/A,N/A
Ayer Shirley School District - Ayer Shirley Regional High School,06160505,ENGLISH LANGUAGE ARTS,93,94,54,55,39,39,6,6,0,0,99,  98.0,  49.1,94
Ayer Shirley School District - Ayer Shirley Regional High School,06160505,MATHEMATICS,82,83,61,62,21,21,13,13,4,4,99,  92.2,  52.4,93
Ayer Shirley School District - Ayer Shirley Regional High School,06160505,SCIENCE AND TECH/ENG,68,79,26,30,42,49,17,20,1,1,86,  92.7,N/A,N/A
