2018 MCAS Achievement Results,,,,,,,,,,,,,,,,
School Name,School Code,Subject,P+A #,P+A %,A #,A %,P #,P %,NI #,NI %,W/F #,W/F %,No. of Students Included,CPI,Ave. SGP,Included In Ave. SGP
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,04240505,ENGLISH LANGUAGE ARTS,25,83,2,7,23,77,4,13,1,3,30,  93.3,,
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,04240505,MATHEMATICS,14,44,2,6,12,38,12,38,6,19,32,  72.7,,
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,04240505,SCIENCE AND TECH/ENG,7,33,0,0,7,33,10,48,4,19,21,  66.7,N/A,N/A
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,04110305,ENGLISH LANGUAGE ARTS,60,77,21,27,39,50,12,15,6,8,78,  91.7,  51.5,62
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,04110305,MATHEMATICS,42,55,11,14,31,41,22,29,12,16,76,  79.6,  42.6,62
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,04110305,SCIENCE AND TECH/ENG,21,34,1,2,20,32,36,58,5,8,62,  75.0,N/A,N/A
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,04160305,ENGLISH LANGUAGE ARTS,58,98,32,54,26,44,1,2,0,0,59,  99.6,  65.3,56
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,04160305,MATHEMATICS,52,88,35,59,17,29,6,10,1,2,59,  95.8,  62.6,55
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,04160305,SCIENCE AND TECH/ENG,51,86,27,46,24,41,7,12,1,2,59,  94.9,N/A,N/A
Bourne - Bourne High School,00360505,ENGLISH LANGUAGE ARTS,115,96,58,48,57,48,4,3,1,1,120,  98.5,  51.2,95
Bourne - Bourne High School,00360505,MATHEMATICS,94,80,53,45,41,35,17,14,7,6,118,  91.5,  48.6,97
Bourne - Bourne High School,00360505,SCIENCE AND TECH/ENG,83,77,23,21,60,56,24,22,1,1,108,  91.9,N/A,N/A
Braintree - Braintree High,00400505,ENGLISH LANGUAGE ARTS,403,98,260,63,143,35,2,0,8,2,413,  99.5,  44.9,389
Braintree - Braintree High,00400505,MATHEMATICS,376,91,259,63,117,28,29,7,8,2,413,  97.5,  38.7,389
Braintree - Braintree High,00400505,SCIENCE AND TECH/ENG,348,87,175,44,173,43,44,11,7,2,399,  96.2,N/A,N/A
Bridgewater-Raynham - Bridgewater-Raynham Regional,06250505,ENGLISH LANGUAGE ARTS,325,96,181,53,144,42,10,3,4,1,339,  98.6,  39.3,327
Bridgewater-Raynham - Bridgewater-Raynham Regional,06250505,MATHEMATICS,294,87,213,63,81,24,35,10,10,3,339,  93.9,  45.7,326
Bridgewater-Raynham - Bridgewater-Raynham Regional,06250505,SCIENCE AND TECH/ENG,266,81,121,37,145,44,56,17,6,2,328,  93.2,N/A,N/A
Bristol County Agricultural - Bristol County Agricultural High,09100705,ENGLISH LANGUAGE ARTS,107,96,60,54,47,42,4,4,1,1,112,  98.2,  44.3,99
Bristol County Agricultural - Bristol County Agricultural High,09100705,MATHEMATICS,94,85,56,50,38,34,15,14,2,2,111,  93.9,  47.1,97
Bristol County Agricultural - Bristol County Agricultural High,09100705,SCIENCE AND TECH/ENG,101,90,52,46,49,44,10,9,1,1,112,  96.4,N/A,N/A
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,08100605,ENGLISH LANGUAGE ARTS,295,95,112,36,183,59,14,5,1,0,310,  98.1,  53.9,289
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,08100605,MATHEMATICS,241,78,126,41,115,37,60,19,9,3,310,  91.8,  62.0,289
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,08100605,SCIENCE AND TECH/ENG,219,71,64,21,155,50,85,28,4,1,308,  89.3,N/A,N/A
Brockton - Brockton Champion High School,00440515,ENGLISH LANGUAGE ARTS,15,71,0,0,15,71,5,24,1,5,21,  89.3, ,13
Brockton - Brockton Champion High School,00440515,MATHEMATICS,5,24,1,5,4,19,10,48,6,29,21,  57.1, ,13
Brockton - Brockton Champion High School,00440515,SCIENCE AND TECH/ENG,3,23,1,8,2,15,9,69,1,8,13,  61.5,N/A,N/A
Brockton - Brockton High,00440505,ENGLISH LANGUAGE ARTS,757,82,304,33,453,49,95,10,72,8,924,  92.7,  48.2,739
Brockton - Brockton High,00440505,MATHEMATICS,512,56,249,27,263,29,227,25,180,20,919,  78.3,  43.3,738
Brockton - Brockton High,00440505,SCIENCE AND TECH/ENG,466,56,115,14,351,42,250,30,110,13,826,  81.1,N/A,N/A
Brooke Charter School (District) - Brooke Charter School,04280305,ENGLISH LANGUAGE ARTS,66,100,53,80,13,20,0,0,0,0,66, 100.0,  46.9,66
Brooke Charter School (District) - Brooke Charter School,04280305,MATHEMATICS,66,100,56,85,10,15,0,0,0,0,66, 100.0,  45.0,66
Brooke Charter School (District) - Brooke Charter School,04280305,SCIENCE AND TECH/ENG,65,100,46,71,19,29,0,0,0,0,65, 100.0,N/A,N/A
Brookline - Brookline High,00460505,ENGLISH LANGUAGE ARTS,461,98,353,75,108,23,5,1,5,1,471,  99.3,  58.6,394
Brookline - Brookline High,00460505,MATHEMATICS,436,93,354,76,82,18,23,5,9,2,468,  97.1,  58.6,395
Brookline - Brookline High,00460505,SCIENCE AND TECH/ENG,387,89,259,59,128,29,38,9,12,3,437,  95.3,N/A,N/A
Burlington - Burlington High,00480505,ENGLISH LANGUAGE ARTS,232,97,140,59,92,38,6,3,1,0,239,  98.8,  45.6,227
Burlington - Burlington High,00480505,MATHEMATICS,198,83,135,56,63,26,33,14,8,3,239,  92.8,  46.8,225
Burlington - Burlington High,00480505,SCIENCE AND TECH/ENG,193,85,87,38,106,47,31,14,3,1,227,  94.3,N/A,N/A
Cambridge - Cambridge Rindge and Latin,00490506,ENGLISH LANGUAGE ARTS,425,93,220,48,205,45,20,4,10,2,455,  97.2,  41.0,343
Cambridge - Cambridge Rindge and Latin,00490506,MATHEMATICS,377,83,263,58,114,25,55,12,21,5,453,  92.4,  55.9,335
Cambridge - Cambridge Rindge and Latin,00490506,SCIENCE AND TECH/ENG,317,75,158,37,159,38,90,21,17,4,424,  88.9,N/A,N/A
Canton - Canton High,00500505,ENGLISH LANGUAGE ARTS,225,97,152,66,73,31,6,3,1,0,232,  99.2,  54.6,209
Canton - Canton High,00500505,MATHEMATICS,214,91,136,58,78,33,12,5,8,3,234,  96.3,  48.4,210
Canton - Canton High,00500505,SCIENCE AND TECH/ENG,207,92,119,53,88,39,17,8,2,1,226,  96.9,N/A,N/A
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,08150605,ENGLISH LANGUAGE ARTS,147,91,42,26,105,65,13,8,2,1,162,  96.6,  53.1,131
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,08150605,MATHEMATICS,112,70,38,24,74,46,39,24,9,6,160,  85.9,  54.5,133
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,08150605,SCIENCE AND TECH/ENG,98,72,19,14,79,58,26,19,12,9,136,  86.6,N/A,N/A
Carver - Carver Middle/High School,00520405,ENGLISH LANGUAGE ARTS,91,98,42,45,49,53,2,2,0,0,93,  99.5,  42.9,90
Carver - Carver Middle/High School,00520405,MATHEMATICS,85,92,48,52,37,40,6,7,1,1,92,  97.0,  58.8,88
Carver - Carver Middle/High School,00520405,SCIENCE AND TECH/ENG,66,73,18,20,48,53,24,27,0,0,90,  91.4,N/A,N/A
Central Berkshire - Wahconah Regional High,06350505,ENGLISH LANGUAGE ARTS,113,92,65,53,48,39,7,6,3,2,123,  96.5,  60.3,107
Central Berkshire - Wahconah Regional High,06350505,MATHEMATICS,94,76,58,47,36,29,21,17,8,7,123,  91.7,  46.6,107
Central Berkshire - Wahconah Regional High,06350505,SCIENCE AND TECH/ENG,90,78,37,32,53,46,22,19,3,3,115,  93.3,N/A,N/A
Chelmsford - Chelmsford High,00560505,ENGLISH LANGUAGE ARTS,350,97,283,79,67,19,4,1,6,2,360,  99.1,  61.0,335
Chelmsford - Chelmsford High,00560505,MATHEMATICS,334,93,249,69,85,24,21,6,6,2,361,  97.1,  47.5,336
Chelmsford - Chelmsford High,00560505,SCIENCE AND TECH/ENG,307,85,149,41,158,44,45,13,8,2,360,  95.1,N/A,N/A
Chelsea - Chelsea High,00570505,ENGLISH LANGUAGE ARTS,204,67,74,24,130,43,69,23,31,10,304,  83.4,  52.9,217
Chelsea - Chelsea High,00570505,MATHEMATICS,112,37,47,16,65,22,104,34,86,28,302,  65.2,  36.1,214
Chelsea - Chelsea High,00570505,SCIENCE AND TECH/ENG,100,37,20,7,80,30,108,40,63,23,271,  67.0,N/A,N/A
Chicopee - Chicopee Comprehensive High School,00610510,ENGLISH LANGUAGE ARTS,275,91,124,41,151,50,19,6,8,3,302,  96.6,  48.1,284
Chicopee - Chicopee Comprehensive High School,00610510,MATHEMATICS,233,77,133,44,100,33,38,13,30,10,301,  89.0,  43.9,282
Chicopee - Chicopee Comprehensive High School,00610510,SCIENCE AND TECH/ENG,209,74,59,21,150,53,54,19,19,7,282,  88.4,N/A,N/A
Chicopee - Chicopee High,00610505,ENGLISH LANGUAGE ARTS,171,86,67,34,104,52,25,13,3,2,199,  95.2,  47.7,159
Chicopee - Chicopee High,00610505,MATHEMATICS,140,71,70,36,70,36,35,18,22,11,197,  84.9,  42.5,154
Chicopee - Chicopee High,00610505,SCIENCE AND TECH/ENG,107,62,40,23,67,39,49,28,17,10,173,  81.8,N/A,N/A
City on a Hill Charter Public School Circuit Street (District) - City on a Hill Charter Public School Circuit Street,04370505,ENGLISH LANGUAGE ARTS,52,79,13,20,39,59,10,15,4,6,66,  91.7,  33.9,39
City on a Hill Charter Public School Circuit Street (District) - City on a Hill Charter Public School Circuit Street,04370505,MATHEMATICS,42,65,18,28,24,37,17,26,6,9,65,  83.8,  35.5,39
City on a Hill Charter Public School Circuit Street (District) - City on a Hill Charter Public School Circuit Street,04370505,SCIENCE AND TECH/ENG,37,59,8,13,29,46,20,32,6,10,63,  81.7,N/A,N/A
City on a Hill Charter Public School Dudley Square (District) - City on a Hill Charter Public School Dudley Square,35040505,ENGLISH LANGUAGE ARTS,63,93,11,16,52,76,5,7,0,0,68,  97.8,  47.4,41
City on a Hill Charter Public School Dudley Square (District) - City on a Hill Charter Public School Dudley Square,35040505,MATHEMATICS,47,70,16,24,31,46,18,27,2,3,67,  88.4,  65.2,42
City on a Hill Charter Public School Dudley Square (District) - City on a Hill Charter Public School Dudley Square,35040505,SCIENCE AND TECH/ENG,27,42,5,8,22,34,31,48,6,9,64,  76.2,N/A,N/A
City on a Hill Charter Public School New Bedford (District) - City on a Hill Charter Public School New Bedford,35070505,ENGLISH LANGUAGE ARTS,44,81,5,9,39,72,6,11,4,7,54,  90.7,  43.4,37
City on a Hill Charter Public School New Bedford (District) - City on a Hill Charter Public School New Bedford,35070505,MATHEMATICS,23,44,8,15,15,29,16,31,13,25,52,  68.8,  41.3,37
City on a Hill Charter Public School New Bedford (District) - City on a Hill Charter Public School New Bedford,35070505,SCIENCE AND TECH/ENG,23,47,5,10,18,37,20,41,6,12,49,  74.0,N/A,N/A
Clinton - Clinton Senior High,00640505,ENGLISH LANGUAGE ARTS,95,93,46,45,49,48,2,2,5,5,102,  97.1,  64.7,91
Clinton - Clinton Senior High,00640505,MATHEMATICS,73,72,37,37,36,36,17,17,11,11,101,  85.4,  57.2,89
Clinton - Clinton Senior High,00640505,SCIENCE AND TECH/ENG,58,62,16,17,42,45,31,33,5,5,94,  83.8,N/A,N/A
Codman Academy Charter Public (District) - Codman Academy Charter Public School,04380505,ENGLISH LANGUAGE ARTS,31,86,1,3,30,83,4,11,1,3,36,  95.1,  24.0,31
Codman Academy Charter Public (District) - Codman Academy Charter Public School,04380505,MATHEMATICS,26,76,12,35,14,41,6,18,2,6,34,  89.0,  36.9,31
Codman Academy Charter Public (District) - Codman Academy Charter Public School,04380505,SCIENCE AND TECH/ENG,12,34,0,0,12,34,17,49,6,17,35,  68.6,N/A,N/A
Cohasset - Cohasset Middle/High School,00650505,ENGLISH LANGUAGE ARTS,122,99,103,84,19,15,1,1,0,0,123,  99.8,  62.2,93
Cohasset - Cohasset Middle/High School,00650505,MATHEMATICS,118,95,85,69,33,27,4,3,2,2,124,  98.0,  61.6,118
Cohasset - Cohasset Middle/High School,00650505,SCIENCE AND TECH/ENG,115,94,62,51,53,43,7,6,0,0,122,  98.4,N/A,N/A
Community Charter School of Cambridge (District) - Community Charter School of Cambridge,04360305,ENGLISH LANGUAGE ARTS,50,100,39,78,11,22,0,0,0,0,50, 100.0,  74.9,49
Community Charter School of Cambridge (District) - Community Charter School of Cambridge,04360305,MATHEMATICS,47,94,34,68,13,26,3,6,0,0,50,  98.5,  57.2,48
Community Charter School of Cambridge (District) - Community Charter School of Cambridge,04360305,SCIENCE AND TECH/ENG,44,88,15,30,29,58,6,12,0,0,50,  96.0,N/A,N/A
Concord-Carlisle - Concord Carlisle High,06400505,ENGLISH LANGUAGE ARTS,308,99,244,79,64,21,2,1,0,0,310,  99.8,  50.7,259
Concord-Carlisle - Concord Carlisle High,06400505,MATHEMATICS,278,92,228,75,50,17,20,7,4,1,302,  96.7,  48.5,252
Concord-Carlisle - Concord Carlisle High,06400505,SCIENCE AND TECH/ENG,279,95,196,67,83,28,15,5,0,0,294,  98.0,N/A,N/A
Danvers - Danvers High,00710505,ENGLISH LANGUAGE ARTS,214,94,117,52,97,43,12,5,1,0,227,  98.0,  53.4,222
Danvers - Danvers High,00710505,MATHEMATICS,175,76,94,41,81,35,42,18,12,5,229,  89.8,  46.1,222
Danvers - Danvers High,00710505,SCIENCE AND TECH/ENG,185,85,78,36,107,49,32,15,0,0,217,  94.4,N/A,N/A
Dartmouth - Dartmouth High,00720505,ENGLISH LANGUAGE ARTS,253,96,150,57,103,39,7,3,4,2,264,  99.0,  40.1,234
Dartmouth - Dartmouth High,00720505,MATHEMATICS,228,88,145,56,83,32,24,9,8,3,260,  95.7,  42.8,230
Dartmouth - Dartmouth High,00720505,SCIENCE AND TECH/ENG,215,86,90,36,125,50,30,12,5,2,250,  94.8,N/A,N/A
Dedham - Dedham High,00730505,ENGLISH LANGUAGE ARTS,175,92,104,54,71,37,12,6,4,2,191,  96.3,  50.2,179
Dedham - Dedham High,00730505,MATHEMATICS,162,85,121,63,41,21,17,9,12,6,191,  92.5,  53.6,177
Dedham - Dedham High,00730505,SCIENCE AND TECH/ENG,156,85,94,51,62,34,23,13,5,3,184,  93.5,N/A,N/A
Dennis-Yarmouth - Dennis-Yarmouth Regional High,06450505,ENGLISH LANGUAGE ARTS,161,94,85,50,76,44,9,5,1,1,171,  97.8,  51.0,157
Dennis-Yarmouth - Dennis-Yarmouth Regional High,06450505,MATHEMATICS,139,81,74,43,65,38,26,15,6,4,171,  92.4,  51.5,158
Dennis-Yarmouth - Dennis-Yarmouth Regional High,06450505,SCIENCE AND TECH/ENG,124,79,55,35,69,44,30,19,2,1,156,  92.3,N/A,N/A
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,06500505,ENGLISH LANGUAGE ARTS,170,93,103,57,67,37,7,4,5,3,182,  97.8,  56.7,171
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,06500505,MATHEMATICS,149,82,94,52,55,30,24,13,9,5,182,  92.7,  57.0,170
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,06500505,SCIENCE AND TECH/ENG,136,78,48,28,88,51,29,17,9,5,174,  91.2,N/A,N/A
Douglas - Douglas High School,00770505,ENGLISH LANGUAGE ARTS,94,94,59,59,35,35,2,2,4,4,100,  97.5,  53.3,95
Douglas - Douglas High School,00770505,MATHEMATICS,78,79,39,39,39,39,17,17,4,4,99,  92.7,  44.7,94
Douglas - Douglas High School,00770505,SCIENCE AND TECH/ENG,73,76,23,24,50,52,19,20,4,4,96,  90.6,N/A,N/A
Dover-Sherborn - Dover-Sherborn Regional High,06550505,ENGLISH LANGUAGE ARTS,162,100,142,88,20,12,0,0,0,0,162, 100.0,  68.4,144
Dover-Sherborn - Dover-Sherborn Regional High,06550505,MATHEMATICS,161,99,138,85,23,14,2,1,0,0,163,  99.5,  66.2,147
Dover-Sherborn - Dover-Sherborn Regional High,06550505,SCIENCE AND TECH/ENG,152,97,119,76,33,21,5,3,0,0,157,  99.2,N/A,N/A
Dracut - Dracut Senior High,00790505,ENGLISH LANGUAGE ARTS,184,93,112,57,72,36,8,4,6,3,198,  97.9,  54.2,168
Dracut - Dracut Senior High,00790505,MATHEMATICS,165,83,111,56,54,27,22,11,11,6,198,  94.1,  66.8,168
Dracut - Dracut Senior High,00790505,SCIENCE AND TECH/ENG,135,72,47,25,88,47,48,26,5,3,188,  88.7,N/A,N/A
Dudley-Charlton Reg - Shepherd Hill Regional High,06580505,ENGLISH LANGUAGE ARTS,265,95,150,54,115,41,9,3,5,2,279,  98.2,  40.6,252
Dudley-Charlton Reg - Shepherd Hill Regional High,06580505,MATHEMATICS,216,77,126,45,90,32,48,17,16,6,280,  90.8,  44.5,251
Dudley-Charlton Reg - Shepherd Hill Regional High,06580505,SCIENCE AND TECH/ENG,207,79,54,21,153,58,45,17,11,4,263,  91.1,N/A,N/A
Duxbury - Duxbury High,00820505,ENGLISH LANGUAGE ARTS,248,98,198,79,50,20,4,2,0,0,252,  99.6,  62.4,243
Duxbury - Duxbury High,00820505,MATHEMATICS,236,94,186,74,50,20,13,5,2,1,251,  97.6,  58.2,242
Duxbury - Duxbury High,00820505,SCIENCE AND TECH/ENG,235,95,125,50,110,44,12,5,1,0,248,  98.0,N/A,N/A
East Bridgewater - East Bridgewater JR./SR. High School,00830505,ENGLISH LANGUAGE ARTS,160,94,90,53,70,41,8,5,3,2,171,  97.4,  43.4,166
East Bridgewater - East Bridgewater JR./SR. High School,00830505,MATHEMATICS,139,81,72,42,67,39,24,14,9,5,172,  91.4,  47.9,168
East Bridgewater - East Bridgewater JR./SR. High School,00830505,SCIENCE AND TECH/ENG,97,59,26,16,71,43,61,37,6,4,164,  84.3,N/A,N/A
East Longmeadow - East Longmeadow High,00870505,ENGLISH LANGUAGE ARTS,216,98,137,62,79,36,4,2,0,0,220,  99.5,  39.5,212
East Longmeadow - East Longmeadow High,00870505,MATHEMATICS,186,85,131,60,55,25,32,15,1,0,219,  95.2,  44.5,211
East Longmeadow - East Longmeadow High,00870505,SCIENCE AND TECH/ENG,190,88,89,41,101,47,24,11,1,0,215,  96.5,N/A,N/A
Easthampton - Easthampton High,00860505,ENGLISH LANGUAGE ARTS,105,91,42,36,63,54,11,9,0,0,116,  97.0,  48.5,103
Easthampton - Easthampton High,00860505,MATHEMATICS,85,73,46,40,39,34,22,19,9,8,116,  87.5,  45.5,102
Easthampton - Easthampton High,00860505,SCIENCE AND TECH/ENG,85,77,37,34,48,44,25,23,0,0,110,  90.7,N/A,N/A
Easton - Oliver Ames High,00880505,ENGLISH LANGUAGE ARTS,258,98,166,63,92,35,2,1,3,1,263,  99.6,  50.0,248
Easton - Oliver Ames High,00880505,MATHEMATICS,239,91,174,66,65,25,19,7,4,2,262,  97.3,  42.7,244
Easton - Oliver Ames High,00880505,SCIENCE AND TECH/ENG,206,82,76,30,130,52,41,16,4,2,251,  94.1,N/A,N/A
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District) - Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520505,ENGLISH LANGUAGE ARTS,86,91,22,23,64,68,8,9,0,0,94,  97.3,  48.5,90
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District) - Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520505,MATHEMATICS,54,59,9,10,45,49,29,32,9,10,92,  82.3,  34.8,87
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District) - Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520505,SCIENCE AND TECH/ENG,45,52,1,1,44,51,40,46,2,2,87,  80.5,N/A,N/A
Essex North Shore Agricultural and Technical School District - Essex Technical High School,08170505,ENGLISH LANGUAGE ARTS,339,97,245,70,94,27,8,2,1,0,348,  99.0,  68.8,309
Essex North Shore Agricultural and Technical School District - Essex Technical High School,08170505,MATHEMATICS,290,83,154,44,136,39,45,13,13,4,348,  93.2,  45.3,309
Essex North Shore Agricultural and Technical School District - Essex Technical High School,08170505,SCIENCE AND TECH/ENG,265,82,76,23,189,58,54,17,6,2,325,  92.8,N/A,N/A
Everett - Everett High,00930505,ENGLISH LANGUAGE ARTS,383,81,197,42,186,40,65,14,22,5,470,  91.9,  56.9,373
Everett - Everett High,00930505,MATHEMATICS,271,58,142,31,129,28,105,23,88,19,464,  77.3,  47.8,369
Everett - Everett High,00930505,SCIENCE AND TECH/ENG,248,62,76,19,172,43,127,32,27,7,402,  82.3,N/A,N/A
Excel Academy Charter (District) - Excel Academy Charter School,04100205,ENGLISH LANGUAGE ARTS,156,95,108,66,48,29,6,4,2,1,164,  98.0,  51.2,158
Excel Academy Charter (District) - Excel Academy Charter School,04100205,MATHEMATICS,135,84,111,69,24,15,16,10,10,6,161,  92.4,  42.3,150
Excel Academy Charter (District) - Excel Academy Charter School,04100205,SCIENCE AND TECH/ENG,146,91,85,53,61,38,13,8,2,1,161,  97.2,N/A,N/A
Fairhaven - Fairhaven High,00940505,ENGLISH LANGUAGE ARTS,141,92,71,46,70,45,11,7,2,1,154,  97.6,  49.0,136
Fairhaven - Fairhaven High,00940505,MATHEMATICS,131,85,86,56,45,29,18,12,5,3,154,  94.5,  57.8,135
Fairhaven - Fairhaven High,00940505,SCIENCE AND TECH/ENG,116,78,35,24,81,55,29,20,3,2,148,  91.2,N/A,N/A
Fall River - B M C Durfee High,00950505,ENGLISH LANGUAGE ARTS,382,80,192,40,190,40,61,13,32,7,475,  91.8,  54.9,399
Fall River - B M C Durfee High,00950505,MATHEMATICS,265,56,129,27,136,29,118,25,89,19,472,  77.6,  35.3,396
Fall River - B M C Durfee High,00950505,SCIENCE AND TECH/ENG,219,53,67,16,152,37,160,39,33,8,412,  80.3,N/A,N/A
Fall River - Resiliency Preparatory Academy,00950525,ENGLISH LANGUAGE ARTS,9,47,1,5,8,42,5,26,5,26,19,  73.7, ,6
Fall River - Resiliency Preparatory Academy,00950525,MATHEMATICS,3,21,0,0,3,21,5,36,6,43,14,  53.6, ,4
Falmouth - Falmouth High,00960505,ENGLISH LANGUAGE ARTS,193,97,143,72,50,25,3,2,3,2,199,  99.5,  55.2,178
Falmouth - Falmouth High,00960505,MATHEMATICS,171,87,119,60,52,26,16,8,10,5,197,  94.2,  38.9,177
Falmouth - Falmouth High,00960505,SCIENCE AND TECH/ENG,162,85,100,52,62,32,24,13,5,3,191,  94.5,N/A,N/A
Fitchburg - Fitchburg High,00970505,ENGLISH LANGUAGE ARTS,198,80,78,32,120,49,36,15,13,5,247,  93.3,  38.7,201
Fitchburg - Fitchburg High,00970505,MATHEMATICS,152,62,92,38,60,25,53,22,39,16,244,  81.9,  47.4,199
Fitchburg - Fitchburg High,00970505,SCIENCE AND TECH/ENG,111,51,33,15,78,36,84,38,24,11,219,  77.9,N/A,N/A
Four Rivers Charter Public (District) - Four Rivers Charter Public School,04130505,ENGLISH LANGUAGE ARTS,36,97,27,73,9,24,1,3,0,0,37,  99.3,  62.5,32
Four Rivers Charter Public (District) - Four Rivers Charter Public School,04130505,MATHEMATICS,32,86,25,68,7,19,4,11,1,3,37,  94.6,  59.3,32
Four Rivers Charter Public (District) - Four Rivers Charter Public School,04130505,SCIENCE AND TECH/ENG,31,89,19,54,12,34,4,11,0,0,35,  95.0,N/A,N/A
Foxborough - Foxborough High,00990505,ENGLISH LANGUAGE ARTS,202,95,98,46,104,49,10,5,0,0,212,  98.6,  38.8,202
Foxborough - Foxborough High,00990505,MATHEMATICS,192,91,137,65,55,26,13,6,7,3,212,  95.4,  41.2,202
Foxborough - Foxborough High,00990505,SCIENCE AND TECH/ENG,179,89,89,44,90,45,22,11,1,0,202,  95.2,N/A,N/A
Foxborough Regional Charter (District) - Foxborough Regional Charter School,04460550,ENGLISH LANGUAGE ARTS,69,97,44,62,25,35,2,3,0,0,71,  99.3,  60.2,67
Foxborough Regional Charter (District) - Foxborough Regional Charter School,04460550,MATHEMATICS,65,92,39,55,26,37,6,8,0,0,71,  97.5,  57.2,67
Foxborough Regional Charter (District) - Foxborough Regional Charter School,04460550,SCIENCE AND TECH/ENG,58,84,24,35,34,49,10,14,1,1,69,  94.6,N/A,N/A
Framingham - Framingham High School,01000515,ENGLISH LANGUAGE ARTS,430,89,259,54,171,35,35,7,17,4,482,  95.1,  54.0,399
Framingham - Framingham High School,01000515,MATHEMATICS,388,81,270,57,118,25,51,11,38,8,477,  90.4,  51.8,398
Framingham - Framingham High School,01000515,SCIENCE AND TECH/ENG,370,83,184,41,186,42,57,13,18,4,445,  92.8,N/A,N/A
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,04780505,ENGLISH LANGUAGE ARTS,58,100,38,66,20,34,0,0,0,0,58, 100.0,  60.6,56
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,04780505,MATHEMATICS,56,97,45,78,11,19,2,3,0,0,58,  99.1,  64.2,55
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,04780505,SCIENCE AND TECH/ENG,50,86,12,21,38,66,8,14,0,0,58,  96.6,N/A,N/A
Franklin - Franklin High,01010505,ENGLISH LANGUAGE ARTS,428,99,310,71,118,27,3,1,3,1,434,  99.7,  56.8,411
Franklin - Franklin High,01010505,MATHEMATICS,386,89,281,65,105,24,36,8,11,3,433,  95.7,  46.9,406
Franklin - Franklin High,01010505,SCIENCE AND TECH/ENG,393,94,237,57,156,37,23,6,2,0,418,  98.2,N/A,N/A
Franklin County Regional Vocational Technical - Franklin County Technical,08180605,ENGLISH LANGUAGE ARTS,105,88,30,25,75,63,14,12,1,1,120,  95.4,  47.6,109
Franklin County Regional Vocational Technical - Franklin County Technical,08180605,MATHEMATICS,93,78,54,45,39,33,18,15,9,8,120,  89.6,  57.5,109
Franklin County Regional Vocational Technical - Franklin County Technical,08180605,SCIENCE AND TECH/ENG,87,79,26,24,61,55,21,19,2,2,110,  92.3,N/A,N/A
Freetown-Lakeville - Apponequet Regional High,06650505,ENGLISH LANGUAGE ARTS,169,97,117,67,52,30,2,1,4,2,175,  98.6,  60.0,161
Freetown-Lakeville - Apponequet Regional High,06650505,MATHEMATICS,148,86,117,68,31,18,19,11,6,3,173,  94.1,  60.5,162
Freetown-Lakeville - Apponequet Regional High,06650505,SCIENCE AND TECH/ENG,146,86,87,51,59,35,21,12,3,2,170,  94.9,N/A,N/A
Frontier - Frontier Regional,06700505,ENGLISH LANGUAGE ARTS,91,93,47,48,44,45,5,5,2,2,98,  96.4,  48.7,90
Frontier - Frontier Regional,06700505,MATHEMATICS,86,88,60,61,26,27,8,8,4,4,98,  93.9,  61.7,91
Frontier - Frontier Regional,06700505,SCIENCE AND TECH/ENG,74,82,34,38,40,44,14,16,2,2,90,  92.8,N/A,N/A
Gardner - Gardner Academy for Learning and Technology,01030515,ENGLISH LANGUAGE ARTS,10,56,0,0,10,56,8,44,0,0,18,  86.1, ,12
Gardner - Gardner Academy for Learning and Technology,01030515,MATHEMATICS,4,21,2,11,2,11,5,26,10,53,19,  50.0, ,12
Gardner - Gardner Academy for Learning and Technology,01030515,SCIENCE AND TECH/ENG,4,31,0,0,4,31,6,46,3,23,13,  61.5,N/A,N/A
