2017-18 Teacher Data - All Teachers,,,,,,
School Name,School Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License
Boston - Samuel W Mason,00350304,      18.0,  94.7,  13.5 to 1,  72.4,  77.8
Boston - Sarah Greenwood,00350308,      30.2,  79.9,  13.3 to 1,  70.0,  86.5
Boston - Snowden International School at Copley,00350690,      35.1,  94.7,  12.7 to 1,  94.6,  88.3
Boston - TechBoston Academy,00350657,      93.6,  93.3,   9.8 to 1,  79.6,  93.6
Boston - The English High,00350535,      49.9,  83.3,  10.8 to 1,  65.9,  85.9
Boston - Thomas J Kenny,00350328,      27.0, 100.0,  12.0 to 1,  96.3,  96.0
Boston - UP Academy Holland,00350167,      48.0,  83.4,  15.9 to 1,  35.4,  74.9
Boston - Urban Science Academy,00350579,      40.1,  85.4,   9.8 to 1,  89.7,  94.6
Boston - Warren-Prescott,00350346,      37.8, 100.0,  15.9 to 1,  94.7, 100.0
Boston - Washington Irving Middle,00350445,      30.9,  95.1,  10.4 to 1,  80.7,  88.7
Boston - West Roxbury Academy,00350658,      39.3,  95.1,  12.1 to 1,  86.3,  97.4
Boston - William E Russell,00350366,      28.5,  94.7,  14.3 to 1,  73.5,  89.5
Boston - William Ellery Channing,00350360,      17.0, 100.0,  12.7 to 1,  88.1,  94.1
Boston - William H Ohrenberger,00350258,      48.1,  95.9,  13.5 to 1,  93.9,  97.6
Boston - William McKinley,00350363,      51.2,  98.1,   6.9 to 1,  91.3,  92.1
Boston - William Monroe Trotter,00350370,      34.5, 100.0,  15.2 to 1,  91.4,  90.3
Boston - Winship Elementary,00350374,      21.6, 100.0,  10.2 to 1,  90.9,  90.7
Boston - Young Achievers,00350380,      40.1,  87.5,  14.1 to 1,  69.9,  87.7
Boston Collegiate Charter (District) - Boston Collegiate Charter School,04490305,      63.5,  80.3,  11.0 to 1,  50.4,  66.3
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,04240505,      23.1,  95.4,  17.5 to 1,  78.1, 100.0
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,04110305,      40.6,  88.9,  11.6 to 1,  66.5,  90.4
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,04160305,      44.1,  77.3,  10.5 to 1,  29.7,  87.1
Boston Renaissance Charter Public (District) - Boston Renaissance Charter Public School,04810550,      82.0,  80.5,  11.4 to 1,  56.1,  92.7
Bourne - Bourne High School,00360505,      37.6,  97.3,  12.8 to 1,  89.7,  92.0
Bourne - Bourne Middle School,00360325,      57.6,  91.3,  11.9 to 1,  77.4,  89.6
Bourne - Bournedale Elementary School,00360005,      27.9, 100.0,  16.1 to 1,  89.3,  93.3
Bourne - Peebles Elementary School,00360010,      25.0, 100.0,  13.6 to 1,  92.0, 100.0
Boxford - Harry Lee Cole,00380005,      26.3, 100.0,  12.6 to 1,  93.9,  96.2
Boxford - Spofford Pond,00380013,      31.6, 100.0,  12.3 to 1,  96.8, 100.0
Boylston - Boylston Elementary,00390005,      19.6, 100.0,  15.3 to 1,  76.4,  94.7
Braintree - Archie T Morrison,00400033,      35.9, 100.0,  11.7 to 1,  87.2,  92.0
Braintree - Braintree High,00400505,     116.2,  98.3,  15.5 to 1,  77.0,  89.9
Braintree - Donald Ross,00400050,      26.1, 100.0,  10.9 to 1,  84.7, 100.0
Braintree - East Middle School,00400305,      59.0, 100.0,  12.1 to 1,  88.1,  97.3
Braintree - Highlands,00400015,      30.9, 100.0,  13.7 to 1,  85.7,  98.6
Braintree - Hollis,00400005,      33.5, 100.0,  12.9 to 1,  94.0, 100.0
Braintree - Liberty,00400025,      29.2, 100.0,  15.8 to 1,  84.2,  96.6
Braintree - Mary E Flaherty School,00400020,      28.3, 100.0,  13.3 to 1,  85.9,  96.5
Braintree - Monatiquot Kindergarten Center,00400009,      16.2, 100.0,  15.5 to 1,  87.6,  87.6
Braintree - South Middle School,00400310,      48.4, 100.0,  13.8 to 1,  82.7,  93.8
Brewster - Eddy Elementary,00410010,      22.6, 100.0,  10.7 to 1,  82.5,  87.8
Brewster - Stony Brook Elementary,00410005,      20.7, 100.0,  11.3 to 1,  84.5,  95.2
Bridge Boston Charter School (District) - Bridge Boston Charter School,04170205,      29.0,  75.4,  10.6 to 1,  41.0,  96.6
Bridgewater-Raynham - Bridgewater Middle School,06250320,      32.3, 100.0,  15.8 to 1,  90.7,  92.6
Bridgewater-Raynham - Bridgewater-Raynham Regional,06250505,      86.9, 100.0,  16.8 to 1,  94.5,  94.5
Bridgewater-Raynham - Laliberte Elementary School,06250050,      26.4, 100.0,  18.6 to 1,  84.4, 100.0
Bridgewater-Raynham - Merrill Elementary School,06250020,      18.2, 100.0,  17.1 to 1,  94.5,  97.5
Bridgewater-Raynham - Mitchell Elementary School,06250002,      61.3,  98.4,  16.9 to 1,  92.6,  97.3
Bridgewater-Raynham - Raynham Middle School,06250315,      47.1, 100.0,  14.1 to 1,  87.3,  91.5
Bridgewater-Raynham - Therapeutic Day School,06250415,       2.9, 100.0,   5.5 to 1, 100.0, 100.0
Bridgewater-Raynham - Williams Intermediate School,06250300,      50.8, 100.0,  15.8 to 1,  90.9,  98.0
Brimfield - Brimfield Elementary,00430005,      26.3, 100.0,  10.9 to 1,  94.3, 100.0
Bristol County Agricultural - Bristol County Agricultural High,09100705,      35.6, 100.0,  12.8 to 1,  91.6,  80.3
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,08100605,      95.5, 100.0,  13.4 to 1,  92.1,  90.1
Brockton - Ashfield Middle School,00440421,      37.6,  99.7,  13.4 to 1,  94.5,  94.7
Brockton - Barrett Russell Early Childhood Center,00440008,      14.4,  99.3,  16.5 to 1,  99.5, 100.0
Brockton - Brockton Champion High School,00440515,      16.8,  99.4,  10.4 to 1,  85.3,  97.6
Brockton - Brockton High,00440505,     243.2,  98.7,  17.0 to 1,  89.7,  92.6
Brockton - Brookfield,00440010,      36.3,  99.7,  17.8 to 1, 100.0,  98.9
Brockton - Downey,00440110,      38.7,  99.7,  16.3 to 1,  98.5,  96.1
Brockton - Dr W Arnone Community School,00440001,      44.3,  99.8,  16.6 to 1,  95.3,  92.8
Brockton - East Middle School,00440405,      38.3, 100.0,  12.5 to 1,  99.3,  92.7
Brockton - Edgar B Davis,00440023,      55.3,  98.2,  18.5 to 1,  97.3,  98.2
Brockton - Edison Academy,00440520,       7.5,  93.4,  26.0 to 1,  89.2,  97.3
Brockton - Frederick Douglass Academy,00440080,       5.3, 100.0,   6.4 to 1,  95.3,  57.7
Brockton - Gilmore Elementary School,00440055,      29.2, 100.0,  19.1 to 1,  96.6,  98.6
Brockton - Hancock,00440045,      32.9, 100.0,  20.0 to 1, 100.0, 100.0
Brockton - Huntington Therapeutic Day School,00440400,      12.7,  89.7,   4.6 to 1,  76.9,  80.9
Brockton - John F Kennedy,00440017,      31.5, 100.0,  18.6 to 1,  96.6, 100.0
Brockton - Joseph F. Plouffe Academy,00440422,      41.4,  99.8,  16.6 to 1,  92.8, 100.0
Brockton - Louis F Angelo Elementary,00440065,      46.4, 100.0,  19.7 to 1,  92.6,  99.2
Brockton - Manthala George Jr. School,00440003,      50.0,  99.8,  18.4 to 1,  95.9,  98.0
Brockton - Mary E. Baker School,00440002,      42.1, 100.0,  19.3 to 1,  95.1,  96.5
Brockton - North Middle School,00440410,      40.1, 100.0,  15.7 to 1,  97.3,  97.5
Brockton - Oscar F Raymond,00440078,      41.7, 100.0,  21.9 to 1,  95.0,  97.6
Brockton - South Middle School,00440415,      36.7, 100.0,  13.3 to 1,  91.6,  94.6
Brockton - West Middle School,00440420,      43.1,  99.8,  14.8 to 1,  95.4,  97.7
Brooke Charter School (District) - Brooke Charter School,04280305,     139.4,  71.1,  12.5 to 1,  46.1,  79.2
Brookfield - Brookfield Elementary,00450005,      23.8, 100.0,  13.1 to 1,  91.6,  95.8
Brookline - Brookline Early Education Program at Beacon,00460001,       3.0, 100.0,  19.7 to 1,  54.3, 100.0
Brookline - Brookline Early Education Program at Putterham,00460002,       7.2, 100.0,   8.4 to 1,  83.6, 100.0
Brookline - Brookline High,00460505,     181.2,  98.9,  11.5 to 1,  87.1,  93.2
Brookline - Edith C Baker,00460005,      59.2,  99.6,  12.9 to 1,  79.9,  96.9
Brookline - Edward Devotion,00460015,      71.4,  99.7,  11.2 to 1,  82.0,  92.5
Brookline - Heath,00460025,      41.7, 100.0,  13.5 to 1,  89.8,  95.7
Brookline - John D Runkle,00460045,      48.0, 100.0,  13.1 to 1,  84.7,  97.9
Brookline - Lawrence,00460030,      54.6,  98.2,  13.2 to 1,  85.1,  96.8
Brookline - Michael Driscoll,00460020,      44.1,  95.8,  14.2 to 1,  65.7,  91.5
Brookline - Pierce,00460040,      60.9,  99.0,  14.1 to 1,  79.1,  91.6
Brookline - The Lynch Center,00460060,       5.2, 100.0,  11.2 to 1, 100.0, 100.0
Brookline - William H Lincoln,00460035,      49.5, 100.0,  11.7 to 1,  85.4,  93.9
Burlington - Burlington High,00480505,      94.6,  99.4,  11.2 to 1,  87.3,  94.7
Burlington - Fox Hill,00480007,      36.9, 100.0,  10.8 to 1,  74.9,  93.9
Burlington - Francis Wyman Elementary,00480035,      50.8, 100.0,  10.6 to 1,  85.3,  95.2
Burlington - Marshall Simonds Middle,00480303,      73.1, 100.0,  11.0 to 1,  90.7,  94.8
Burlington - Memorial,00480015,      36.7, 100.0,  11.1 to 1,  91.1,  96.6
Burlington - Pine Glen Elementary,00480020,      30.2, 100.0,  10.3 to 1,  87.6,  99.2
Cambridge - Amigos School,00490006,      35.1,  97.2,  11.3 to 1,  69.5,  76.2
Cambridge - Cambridge Rindge and Latin,00490506,     190.2,  97.5,  10.3 to 1,  81.6,  84.5
Cambridge - Cambridge Street Upper School,00490305,      33.8, 100.0,   7.3 to 1,  80.0,  91.1
Cambridge - Cambridgeport,00490007,      25.0, 100.0,  13.7 to 1,  82.5,  87.3
Cambridge - Fletcher/Maynard Academy,00490090,      30.0, 100.0,   9.9 to 1,  89.9,  96.7
Cambridge - Graham and Parks,00490080,      31.5,  96.8,  11.5 to 1,  81.0,  93.7
Cambridge - Haggerty,00490020,      24.9, 100.0,  10.3 to 1,  92.9, 100.0
Cambridge - John M Tobin,00490065,      21.8, 100.0,  13.5 to 1,  87.1, 100.0
Cambridge - Kennedy-Longfellow,00490040,      27.7, 100.0,  10.6 to 1,  89.2,  92.8
Cambridge - King Open,00490035,      34.9,  97.1,   9.4 to 1,  77.0,  94.3
Cambridge - Maria L. Baldwin,00490005,      30.6, 100.0,  11.9 to 1,  80.4,  96.7
Cambridge - Martin Luther King Jr.,00490030,      29.5, 100.0,  11.1 to 1,  86.4,  79.7
Cambridge - Morse,00490045,      32.5, 100.0,   9.4 to 1,  95.4,  93.3
Cambridge - Peabody,00490050,      26.3, 100.0,  12.3 to 1,  91.3,  96.2
Cambridge - Putnam Avenue Upper School,00490310,      33.1,  97.0,   7.9 to 1,  78.8,  80.1
Cambridge - Rindge Avenue Upper School,00490315,      30.2, 100.0,   8.9 to 1,  75.1,  96.7
Cambridge - Vassal Lane Upper School,00490320,      33.7, 100.0,   8.3 to 1,  73.3,  91.1
Canton - Canton High,00500505,      69.8, 100.0,  14.1 to 1,  78.2,  88.2
Canton - Dean S Luce,00500020,      36.1, 100.0,  13.8 to 1,  82.8,  99.5
Canton - John F Kennedy,00500017,      38.5, 100.0,  13.8 to 1,  86.6,  94.4
Canton - Lt Peter M Hansen,00500012,      37.2, 100.0,  12.8 to 1,  89.1,  99.9
Canton - Rodman Early Childhood Center,00500010,       5.0, 100.0,  17.6 to 1,  80.0, 100.0
Canton - Wm H Galvin Middle,00500305,      60.4, 100.0,  12.2 to 1,  87.5,  92.7
Cape Cod Lighthouse Charter (District) - Cape Cod Lighthouse Charter School,04320530,      22.0,  82.2,  11.0 to 1,  91.1,  78.2
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,08150605,      65.8,  87.9,   9.0 to 1,  74.4,  80.7
Carlisle - Carlisle School,00510025,      56.8, 100.0,  10.7 to 1,  93.0, 100.0
Carver - Carver Elementary School,00520015,      50.6, 100.0,  15.5 to 1,  80.2,  98.0
Carver - Carver Middle/High School,00520405,      67.3,  98.5,  11.8 to 1,  83.7,  91.1
Central Berkshire - Becket Washington School,06350005,      10.1, 100.0,  12.4 to 1, 100.0,  96.0
Central Berkshire - Craneville,06350025,      28.0, 100.0,  14.7 to 1,  96.4,  99.3
Central Berkshire - Kittredge,06350035,      12.5, 100.0,  12.0 to 1, 100.0,  88.8
Central Berkshire - Nessacus Regional Middle School,06350305,      30.0, 100.0,  12.7 to 1,  99.0,  96.7
Central Berkshire - Wahconah Regional High,06350505,      44.3, 100.0,  12.1 to 1,  97.7, 100.0
Chelmsford - Byam School,00560030,      38.0, 100.0,  13.3 to 1,  84.2,  97.4
Chelmsford - Center Elementary School,00560005,      31.0, 100.0,  14.5 to 1,  80.6,  96.8
Chelmsford - Charles D Harrington,00560025,      31.0, 100.0,  15.9 to 1,  93.5, 100.0
Chelmsford - Chelmsford High,00560505,     109.5, 100.0,  13.5 to 1,  89.9,  97.3
Chelmsford - Col Moses Parker School,00560305,      62.3, 100.0,  11.5 to 1,  84.8,  93.6
Chelmsford - Community Education Center,00560001,       7.0, 100.0,  18.9 to 1, 100.0,  85.7
Chelmsford - McCarthy Middle School,00560310,      67.8, 100.0,  12.0 to 1,  85.3,  91.2
Chelmsford - South Row,00560015,      26.0, 100.0,  15.4 to 1,  96.2, 100.0
Chelsea - Chelsea High,00570505,     112.8,  99.3,  13.6 to 1,  53.2,  71.6
Chelsea - Clark Avenue School,00570050,      32.0,  96.9,  17.3 to 1,  65.6,  75.0
Chelsea - Edgar A Hooks Elementary,00570030,      37.5, 100.0,  15.7 to 1,  76.0,  89.3
Chelsea - Eugene Wright Science and Technology Academy,00570045,      32.3, 100.0,  16.5 to 1,  72.2,  84.5
Chelsea - Frank M Sokolowski Elementary,00570040,      38.0,  94.7,  14.9 to 1,  63.2, 100.0
Chelsea - George F. Kelly Elementary,00570035,      37.5, 100.0,  14.6 to 1,  76.0, 100.0
Chelsea - Joseph A. Browne School,00570055,      40.7, 100.0,  15.1 to 1,  43.4,  70.5
Chelsea - Shurtleff Early Childhood,00570003,      51.0,  98.0,  17.0 to 1,  84.3,  94.1
Chelsea - William A Berkowitz Elementary,00570025,      32.0,  96.9,  15.9 to 1,  62.5,  90.6
Chesterfield-Goshen - New Hingham Regional Elementary,06320025,      14.9, 100.0,   9.1 to 1,  93.3, 100.0
Chicopee - Barry,00610003,      28.0, 100.0,  14.3 to 1,  89.3,  92.9
Chicopee - Belcher,00610010,      19.9, 100.0,  13.6 to 1,  97.5,  95.0
Chicopee - Bellamy Middle,00610305,      77.7,  98.7,  10.3 to 1,  87.1,  89.7
Chicopee - Bowe,00610015,      32.1, 100.0,  14.9 to 1,  87.5,  96.9
Chicopee - Bowie,00610020,      23.6, 100.0,  14.1 to 1,  98.6, 100.0
Chicopee - Chicopee Academy,00610021,      16.6, 100.0,   4.9 to 1,  94.0,  81.9
Chicopee - Chicopee Comprehensive High School,00610510,     114.8,  99.1,  11.9 to 1,  92.1,  89.5
Chicopee - Chicopee High,00610505,      87.5,  97.7,  10.9 to 1,  90.3,  94.3
Chicopee - Dupont Middle,00610310,      60.5,  96.7,  12.4 to 1,  88.4,  85.1
Chicopee - Fairview Elementary,00610050,      33.7, 100.0,  13.7 to 1,  84.8,  94.1
Chicopee - Gen John J Stefanik,00610090,      28.9, 100.0,  13.9 to 1,  88.1, 100.0
Chicopee - Lambert-Lavoie,00610040,      24.0, 100.0,  13.2 to 1,  81.4,  95.8
Chicopee - Litwin,00610022,      29.0, 100.0,  14.4 to 1,  75.9,  96.6
Chicopee - Streiber Memorial School,00610065,      18.0, 100.0,  15.5 to 1,  96.0, 100.0
Chicopee - Szetela Early Childhood Center,00610001,      14.0, 100.0,  17.2 to 1,  85.7,  92.9
Christa McAuliffe Charter Public (District) - Christa McAuliffe Charter Public School,04180305,      41.0,  71.3,   9.6 to 1,  79.3,  88.4
City on a Hill Charter Public School Circuit Street (District) - City on a Hill Charter Public School Circuit Street,04370505,      26.7,  64.8,  10.6 to 1,  25.1,  77.5
City on a Hill Charter Public School Dudley Square (District) - City on a Hill Charter Public School Dudley Square,35040505,      24.7,  72.1,  11.0 to 1,  18.6,  70.0
City on a Hill Charter Public School New Bedford (District) - City on a Hill Charter Public School New Bedford,35070505,      16.0,  80.0,  14.8 to 1,  16.3,  67.5
Clarksburg - Clarksburg Elementary,00630010,      15.5,  97.4,  12.5 to 1,  98.4, 100.0
Clinton - Clinton Elementary,00640050,      53.7, 100.0,  12.7 to 1,  88.8,  92.6
Clinton - Clinton Middle School,00640305,      57.2,  98.3,  13.0 to 1,  62.9,  98.3
Clinton - Clinton Senior High,00640505,      40.4, 100.0,  11.3 to 1,  83.1,  87.6
Codman Academy Charter Public (District) - Codman Academy Charter Public School,04380505,      37.0,  39.8,   9.3 to 1,  24.3,  85.9
Cohasset - Cohasset Middle/High School,00650505,      71.7, 100.0,  11.8 to 1,  82.3,  94.4
Cohasset - Deer Hill,00650005,      22.2, 100.0,  17.6 to 1,  91.0, 100.0
Cohasset - Joseph Osgood,00650010,      18.6, 100.0,  18.6 to 1,  78.5, 100.0
Collegiate Charter School of Lowell (District) - Collegiate Charter School of Lowell,35030205,      40.0,  87.5,  19.0 to 1,  32.5,  80.0
Community Charter School of Cambridge (District) - Community Charter School of Cambridge,04360305,      35.4,  80.3,  10.3 to 1,  48.6,  81.7
Community Day Charter Public School - Gateway (District) - Community Day Charter Public School - Gateway,04260205,      33.0,  62.1,   9.7 to 1,  40.9,  97.0
Community Day Charter Public School - Prospect (District) - Community Day Charter Public School - Prospect,04400205,      45.3,  77.9,   8.8 to 1,  38.2,  85.9
Community Day Charter Public School - R. Kingman Webster (District) - Community Day Charter Public School - R. Kingman Webster,04310205,      33.5,  89.6,   9.6 to 1,  29.9,  91.0
Concord - Alcott,00670005,      38.8, 100.0,  12.6 to 1,  86.6, 100.0
Concord - Concord Middle,00670305,      55.7, 100.0,  13.0 to 1,  94.8,  89.2
Concord - Thoreau,00670020,      37.9, 100.0,  12.1 to 1,  80.5, 100.0
Concord - Willard,00670030,      36.9, 100.0,  11.9 to 1,  85.4, 100.0
Concord-Carlisle - Concord Carlisle High,06400505,     102.6, 100.0,  12.4 to 1,  92.6,  93.2
Conservatory Lab Charter (District) - Conservatory Lab Charter School,04390050,      25.3,  81.2,  17.8 to 1,  15.8,  84.2
Conway - Conway Grammar,00680005,      13.4, 100.0,  10.3 to 1,  91.7, 100.0
Danvers - Danvers High,00710505,      77.4,  98.7,  12.2 to 1,  85.3,  89.8
Danvers - Great Oak,00710015,      25.5, 100.0,  14.9 to 1,  88.2, 100.0
Danvers - Highlands,00710010,      27.0, 100.0,  13.8 to 1,  92.6,  90.7
Danvers - Holten Richmond Middle School,00710305,      65.3,  98.5,  12.6 to 1,  86.2,  89.3
Danvers - Ivan G Smith,00710032,      18.0, 100.0,  15.7 to 1,  94.5,  97.2
Danvers - Riverside,00710030,      27.0, 100.0,  13.1 to 1,  88.9,  96.3
Danvers - Willis E Thorpe,00710045,      24.8, 100.0,  12.5 to 1,  83.9, 100.0
Dartmouth - Andrew B. Cushman School,00720005,      10.7, 100.0,  13.1 to 1, 100.0,  81.3
Dartmouth - Dartmouth High,00720505,      79.2,  98.3,  13.5 to 1,  93.2,  96.3
Dartmouth - Dartmouth Middle,00720050,      78.0,  98.8,  12.4 to 1,  86.6,  96.3
Dartmouth - George H Potter,00720030,      26.4, 100.0,  16.3 to 1,  96.2,  98.0
Dartmouth - James M. Quinn School,00720040,      45.5, 100.0,  13.9 to 1,  91.2, 100.0
Dartmouth - Joseph Demello,00720015,      28.6, 100.0,  15.1 to 1,  82.5,  98.5
Dedham - Avery,00730010,      28.5, 100.0,  11.2 to 1,  86.0, 100.0
Dedham - Dedham High,00730505,      65.0, 100.0,  11.3 to 1,  86.2,  92.3
Dedham - Dedham Middle School,00730305,      69.0,  95.7,   8.7 to 1,  82.6,  98.6
Dedham - Early Childhood Center,00730005,      18.5, 100.0,  14.6 to 1,  94.6, 100.0
Dedham - Greenlodge,00730025,      21.8, 100.0,  12.2 to 1,  90.8, 100.0
Dedham - Oakdale,00730030,      21.7, 100.0,  13.2 to 1,  95.4, 100.0
Dedham - Riverdale,00730045,      19.2, 100.0,   9.3 to 1,  89.6,  94.8
Deerfield - Deerfield Elementary,00740015,      37.4,  97.3,  10.7 to 1,  85.5,  92.5
Dennis-Yarmouth - Dennis-Yarmouth Regional High,06450505,      84.7,  98.8,  12.1 to 1,  84.1,  89.0
Dennis-Yarmouth - Ezra H Baker Innovation School,06450005,      43.1, 100.0,   8.1 to 1,  93.0,  97.7
Dennis-Yarmouth - Marguerite E Small Elementary,06450015,      29.0, 100.0,   9.4 to 1,  89.7, 100.0
Dennis-Yarmouth - Mattacheese Middle School,06450305,      44.3, 100.0,  10.1 to 1,  91.0,  86.4
Dennis-Yarmouth - N H Wixon Innovation School,06450050,      49.0, 100.0,  11.0 to 1,  93.9,  98.0
Dennis-Yarmouth - Station Avenue Elementary,06450025,      35.7, 100.0,  11.7 to 1,  94.4, 100.0
Dighton-Rehoboth - Dighton Elementary,06500005,      33.1, 100.0,  14.0 to 1,  94.0, 100.0
Dighton-Rehoboth - Dighton Middle School,06500305,      29.2, 100.0,  13.4 to 1,  96.2, 100.0
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,06500505,      78.7, 100.0,  11.6 to 1,  87.3,  90.0
Dighton-Rehoboth - Dorothy L Beckwith,06500310,      44.2, 100.0,  13.2 to 1,  95.5, 100.0
Dighton-Rehoboth - Palmer River,06500010,      41.3, 100.0,  13.4 to 1,  90.4, 100.0
Douglas - Douglas Elementary School,00770015,      23.5, 100.0,  16.0 to 1,  76.5, 100.0
Douglas - Douglas High School,00770505,      34.3,  97.7,  11.1 to 1,  81.9,  81.9
Douglas - Douglas Middle School,00770305,      21.4, 100.0,  16.2 to 1,  79.3,  93.0
Douglas - Douglas Primary School,00770005,      13.1, 100.0,  17.1 to 1,  80.5, 100.0
Dover - Chickering,00780005,      41.8, 100.0,  11.8 to 1,  85.6,  97.6
Dover-Sherborn - Dover-Sherborn Regional High,06550505,      57.8, 100.0,  11.5 to 1,  89.8,  95.8
Dover-Sherborn - Dover-Sherborn Regional Middle School,06550405,      48.7, 100.0,  10.8 to 1,  97.1,  99.1
Dracut - Brookside Elementary,00790035,      22.1, 100.0,  20.7 to 1,  81.9,  92.3
Dracut - Dracut Senior High,00790505,      61.0,  95.1,  13.7 to 1,  78.0,  86.9
Dracut - George H. Englesby Elementary School,00790045,      27.0, 100.0,  19.1 to 1,  63.0,  92.6
Dracut - Greenmont Avenue,00790030,      17.3, 100.0,  17.0 to 1,  88.4,  98.3
Dracut - Joseph A Campbell Elementary,00790020,      27.1, 100.0,  21.1 to 1,  92.6,  96.3
Dracut - Justus C. Richardson Middle School,00790410,      55.1, 100.0,  15.9 to 1,  76.0,  81.1
Dudley Street Neighborhood Charter School (District) - Dudley Street Neighborhood Charter School,04070405,      19.0, 100.0,  14.9 to 1,  73.7,  89.5
Dudley-Charlton Reg - Charlton Elementary,06580020,      24.5, 100.0,  14.1 to 1,  89.8, 100.0
Dudley-Charlton Reg - Charlton Middle School,06580310,      50.0, 100.0,  13.8 to 1,  98.0, 100.0
Dudley-Charlton Reg - Dudley Elementary,06580005,      28.0, 100.0,  14.0 to 1,  83.9,  96.4
Dudley-Charlton Reg - Dudley Middle School,06580305,      46.1, 100.0,  12.5 to 1,  93.3,  95.7
Dudley-Charlton Reg - Heritage School,06580030,      31.0, 100.0,  15.5 to 1,  90.3,  96.8
Dudley-Charlton Reg - Mason Road School,06580010,      17.5, 100.0,  15.8 to 1,  94.3, 100.0
Dudley-Charlton Reg - Shepherd Hill Regional High,06580505,      73.0, 100.0,  16.0 to 1,  87.7,  89.0
Duxbury - Alden School,00820004,      47.1,  97.9,  14.3 to 1,  85.2,  93.6
Duxbury - Chandler Elementary,00820006,      46.4, 100.0,  13.5 to 1,  95.7, 100.0
Duxbury - Duxbury High,00820505,      80.0,  99.6,  13.2 to 1,  94.2,  96.3
Duxbury - Duxbury Middle,00820305,      55.3,  97.0,  13.4 to 1,  83.2,  90.6
East Bridgewater - Central,00830005,      39.3, 100.0,  15.3 to 1,  76.3,  97.5
East Bridgewater - East Bridgewater JR./SR. High School,00830505,      71.3,  98.6,  14.5 to 1,  81.3,  87.4
East Bridgewater - Gordon W Mitchell,00830010,      43.0, 100.0,  15.4 to 1,  74.4,  93.0
East Longmeadow - Birchland Park,00870305,      53.5, 100.0,  12.4 to 1,  94.4,  96.3
East Longmeadow - East Longmeadow High,00870505,      62.5, 100.0,  13.4 to 1,  93.6,  98.4
East Longmeadow - Mapleshade,00870010,      23.9, 100.0,  11.8 to 1,  97.9, 100.0
East Longmeadow - Meadow Brook,00870013,      41.8, 100.0,  13.9 to 1, 100.0, 100.0
East Longmeadow - Mountain View,00870015,      24.4, 100.0,  12.0 to 1,  93.9, 100.0
Eastham - Eastham Elementary,00850005,      23.3, 100.0,   7.4 to 1,  90.6, 100.0
Easthampton - Center School,00860005,      14.4, 100.0,  13.7 to 1,  87.0,  97.6
Easthampton - Easthampton High,00860505,      32.2, 100.0,  14.5 to 1,  90.1,  92.2
Easthampton - Maple,00860010,      18.3, 100.0,  13.5 to 1,  81.8,  98.1
Easthampton - Neil A Pepin,00860020,      15.2, 100.0,  11.8 to 1,  75.2,  98.0
Easthampton - White Brook Middle School,00860305,      35.4,  97.2,  12.7 to 1,  73.7,  88.7
Easton - Center School,00880003,      18.7, 100.0,  14.2 to 1,  92.4,  97.4
Easton - Easton Middle School,00880405,      67.7, 100.0,  13.1 to 1,  85.7, 100.0
Easton - Moreau Hall,00880020,      15.2, 100.0,  14.9 to 1,  96.7, 100.0
Easton - Oliver Ames High,00880505,      81.3, 100.0,  14.6 to 1,  91.9,  94.6
Easton - Parkview Elementary,00880015,      24.1, 100.0,  13.3 to 1,  99.7,  97.9
Easton - Richardson Olmsted School,00880025,      58.0, 100.0,  14.4 to 1,  89.1,  99.1
Edgartown - Edgartown Elementary,00890005,      38.5,  98.8,   8.9 to 1,  83.9,  91.6
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District) - Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520505,      35.3,  92.6,  10.8 to 1,  64.3,  83.0
Erving - Erving Elementary,00910030,      18.1,  97.2,   7.8 to 1,  89.5, 100.0
Essex North Shore Agricultural and Technical School District - Essex Technical High School,08170505,     122.7,  95.6,  11.3 to 1,  77.7,  73.9
Everett - Adams School,00930003,       9.0, 100.0,  22.3 to 1,  77.8, 100.0
Everett - Devens School,00930030,      10.8, 100.0,   5.2 to 1,  90.7,  78.1
Everett - Everett High,00930505,     149.7,  98.0,  13.2 to 1,  72.9,  79.3
Everett - George Keverian School,00930028,      63.9,  96.9,  13.5 to 1,  82.5,  89.0
Everett - Lafayette School,00930038,      61.8,  98.4,  15.3 to 1,  79.8,  87.8
Everett - Madeline English School,00930018,      68.1, 100.0,  12.2 to 1,  75.2,  89.7
Everett - Parlin School,00930058,      60.9, 100.0,  13.7 to 1,  74.6,  81.4
Everett - Sumner G. Whittier School,00930010,      53.4, 100.0,  11.6 to 1,  82.8,  94.4
Everett - Webster School,00930015,      51.0, 100.0,  14.5 to 1,  78.1,  90.9
Excel Academy Charter (District) - Excel Academy Charter School,04100205,      98.4,  60.0,  11.4 to 1,  27.3,  83.7
