2017-18 Teacher Data - All Teachers,,,,,,
School Name,School Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License
Arlington - Thompson,00100050,      35.1, 100.0,  13.9 to 1,  64.8,  96.7
Ashburnham-Westminster - Briggs Elementary,06100025,      38.8, 100.0,  14.3 to 1,  84.5,  92.3
Ashburnham-Westminster - Meetinghouse School,06100010,      10.7, 100.0,  15.2 to 1,  84.5,  96.9
Ashburnham-Westminster - Oakmont Regional High School,06100505,      50.5, 100.0,  14.2 to 1,  84.4,  94.7
Ashburnham-Westminster - Overlook Middle School,06100305,      37.9, 100.0,  15.1 to 1,  82.6,  94.7
Ashburnham-Westminster - Westminster Elementary,06100005,      22.1, 100.0,  17.1 to 1,  78.0,  94.7
Ashland - Ashland High,00140505,      56.0, 100.0,  13.7 to 1,  81.4,  91.4
Ashland - Ashland Middle,00140405,      45.2, 100.0,  13.3 to 1,  92.7,  95.0
Ashland - David Mindess,00140015,      46.3, 100.0,  14.0 to 1,  84.9,  97.8
Ashland - Henry E Warren Elementary,00140010,      44.4, 100.0,  13.8 to 1,  80.2,  96.4
Ashland - William Pittaway Elementary,00140005,       8.0, 100.0,  15.9 to 1,  50.0, 100.0
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,     110.0,  95.5,  10.1 to 1,  84.1,  86.4
Athol-Royalston - Athol Community Elementary School,06150020,      37.3, 100.0,  16.2 to 1,  70.5,  86.6
Athol-Royalston - Athol High,06150505,      30.3, 100.0,  12.1 to 1,  83.5,  80.2
Athol-Royalston - Athol-Royalston Middle School,06150305,      30.1, 100.0,  13.0 to 1,  83.4,  86.7
Athol-Royalston - Royalston Community School,06150050,      11.8, 100.0,  11.8 to 1,  83.0, 100.0
Atlantis Charter (District) - Atlantis Charter School,04910550,      88.6,  82.5,  13.7 to 1,  48.1,  75.2
Attleboro - A. Irvin Studley Elementary School,00160001,      30.5, 100.0,  12.6 to 1,  96.8, 100.0
Attleboro - Attleboro Community Academy,00160515,       3.4,  94.2,  17.7 to 1,  82.6,  84.2
Attleboro - Attleboro High,00160505,     107.8,  98.1,  15.8 to 1,  87.0,  89.0
Attleboro - Cyril K. Brennan Middle School,00160315,      33.8, 100.0,  17.2 to 1,  91.1,  97.0
Attleboro - Early Learning Center,00160008,       8.4, 100.0,  21.9 to 1,  76.2, 100.0
Attleboro - Hill-Roberts Elementary School,00160045,      27.7, 100.0,  16.6 to 1,  65.2,  89.1
Attleboro - Hyman Fine Elementary School,00160040,      28.0, 100.0,  17.2 to 1,  92.8,  96.4
Attleboro - Peter Thacher Elementary School,00160050,      34.5, 100.0,  12.2 to 1,  93.1, 100.0
Attleboro - Robert J. Coelho Middle School,00160305,      38.0, 100.0,  17.5 to 1,  89.5, 100.0
Attleboro - Thomas Willett Elementary School,00160035,      28.5, 100.0,  15.2 to 1,  96.5, 100.0
Attleboro - Wamsutta Middle School,00160320,      33.2, 100.0,  17.4 to 1,  94.0,  97.0
Auburn - Auburn Middle,00170305,      45.3, 100.0,  13.9 to 1,  90.1,  97.8
Auburn - Auburn Senior High,00170505,      61.6, 100.0,  13.0 to 1,  91.9,  90.3
