2017-18 Enrollment By Race/Gender Report (School) ,,,,,,,,,,
School Name,School Code,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Chicopee - Belcher,00610010,   8.1,   0.7,  36.5,  52.0,   0.0,   0.0,   2.6,  52.4,  47.6
Chicopee - Bellamy Middle,00610305,   2.8,   1.5,  37.8,  54.7,   0.0,   0.0,   3.3,  50.4,  49.6
Chicopee - Bowe,00610015,   5.6,   1.0,  55.6,  32.0,   0.2,   0.0,   5.4,  51.5,  48.5
Chicopee - Bowie,00610020,   4.2,   1.2,  19.2,  72.1,   0.3,   0.3,   2.7,  50.5,  49.5
Chicopee - Chicopee Academy,00610021,   4.9,   0.0,  61.0,  31.7,   0.0,   0.0,   2.4,  73.2,  26.8
Chicopee - Chicopee Comprehensive High School,00610510,   2.5,   2.7,  27.0,  65.5,   0.1,   0.0,   2.1,  53.7,  46.3
Chicopee - Chicopee High,00610505,   3.9,   1.7,  39.1,  53.2,   0.1,   0.1,   2.0,  49.5,  50.5
Chicopee - Dupont Middle,00610310,   4.5,   0.8,  40.4,  50.9,   0.1,   0.0,   3.2,  55.7,  44.3
Chicopee - Fairview Elementary,00610050,   3.3,   1.7,  47.7,  43.2,   0.0,   0.0,   4.1,  51.0,  49.0
Chicopee - Gen John J Stefanik,00610090,   7.2,   0.7,  68.0,  21.6,   0.0,   0.0,   2.5,  52.9,  47.1
Chicopee - Lambert-Lavoie,00610040,   3.5,   1.3,  25.6,  65.9,   0.0,   0.0,   3.8,  53.3,  46.7
Chicopee - Litwin,00610022,   4.3,   0.5,  33.7,  59.3,   0.2,   0.0,   1.9,  51.9,  48.1
Chicopee - Streiber Memorial School,00610065,   2.2,   3.2,  29.0,  60.9,   0.0,   0.4,   4.3,  52.7,  47.3
Chicopee - Szetela Early Childhood Center,00610001,   4.6,   1.7,  24.1,  63.5,   0.0,   0.0,   6.2,  59.8,  40.2
Christa McAuliffe Charter Public (District) - Christa McAuliffe Charter Public School,04180305,   4.6,   5.6,  21.3,  60.0,   0.8,   0.3,   7.6,  52.9,  47.1
City on a Hill Charter Public School Circuit Street (District) - City on a Hill Charter Public School Circuit Street,04370505,  68.9,   0.0,  27.2,   2.8,   0.0,   0.0,   1.1,  47.7,  51.6
City on a Hill Charter Public School Dudley Square (District) - City on a Hill Charter Public School Dudley Square,35040505,  69.9,   2.6,  25.0,   0.4,   0.0,   0.4,   1.8,  45.6,  54.4
City on a Hill Charter Public School New Bedford (District) - City on a Hill Charter Public School New Bedford,35070505,  13.6,   1.3,  46.2,  34.3,   0.0,   0.0,   4.7,  46.2,  53.4
Clarksburg - Clarksburg Elementary,00630010,   0.0,   0.5,   1.0,  93.8,   0.0,   0.0,   4.7,  49.2,  50.8
Clinton - Clinton Elementary,00640050,   2.9,   1.0,  24.3,  69.3,   0.0,   0.0,   2.5,  51.9,  48.1
Clinton - Clinton Middle School,00640305,   4.0,   1.2,  21.7,  71.3,   0.0,   0.1,   1.6,  56.8,  43.2
Clinton - Clinton Senior High,00640505,   5.7,   2.2,  28.4,  62.4,   0.2,   0.0,   1.1,  49.9,  50.1
Codman Academy Charter Public (District) - Codman Academy Charter Public School,04380505,  76.8,   0.0,  21.2,   0.3,   0.3,   0.6,   0.9,  51.0,  49.0
Cohasset - Cohasset Middle/High School,00650505,   3.2,   3.0,   1.7,  91.1,   0.4,   0.0,   0.7,  51.1,  48.9
Cohasset - Deer Hill,00650005,   3.1,   1.8,   0.5,  92.6,   0.0,   0.0,   2.1,  53.3,  46.7
Cohasset - Joseph Osgood,00650010,   2.6,   1.7,   0.9,  93.4,   0.0,   0.0,   1.4,  50.6,  49.4
Collegiate Charter School of Lowell (District) - Collegiate Charter School of Lowell,35030205,  18.8,  22.9,  37.2,  15.5,   0.1,   0.0,   5.4,  49.7,  50.3
Community Charter School of Cambridge (District) - Community Charter School of Cambridge,04360305,  63.3,   4.1,  22.5,   5.2,   0.8,   0.0,   4.1,  49.3,  50.7
Community Day Charter Public School - Gateway (District) - Community Day Charter Public School - Gateway,04260205,   1.3,   0.6,  95.6,   2.5,   0.0,   0.0,   0.0,  51.3,  48.8
Community Day Charter Public School - Prospect (District) - Community Day Charter Public School - Prospect,04400205,   0.5,   0.5,  96.3,   2.8,   0.0,   0.0,   0.0,  49.5,  50.5
Community Day Charter Public School - R. Kingman Webster (District) - Community Day Charter Public School - R. Kingman Webster,04310205,   1.6,   1.3,  93.1,   4.1,   0.0,   0.0,   0.0,  49.1,  50.9
Concord - Alcott,00670005,   8.6,   7.5,   9.8,  67.8,   0.0,   0.0,   6.3,  53.0,  47.0
Concord - Concord Middle,00670305,   4.7,   5.5,   5.2,  78.4,   0.3,   0.0,   5.9,  46.1,  53.9
Concord - Thoreau,00670020,   0.9,   7.9,   5.3,  77.2,   0.0,   0.0,   8.8,  54.0,  46.0
Concord - Willard,00670030,   1.1,   6.4,   4.1,  82.7,   0.2,   0.0,   5.5,  51.9,  48.1
Concord-Carlisle - Concord Carlisle High,06400505,   4.1,   8.9,   4.5,  78.7,   0.0,   0.0,   3.8,  47.9,  52.0
Conservatory Lab Charter (District) - Conservatory Lab Charter School,04390050,  49.1,   2.9,  35.6,   9.3,   0.0,   0.0,   3.1,  45.3,  54.7
Conway - Conway Grammar,00680005,   0.0,   0.0,   4.3,  94.2,   0.0,   0.0,   1.4,  55.8,  44.2
Danvers - Danvers High,00710505,   1.9,   2.4,   5.7,  88.1,   0.0,   0.0,   1.8,  49.9,  50.1
Danvers - Great Oak,00710015,   2.9,   2.1,   9.5,  79.9,   0.3,   0.0,   5.3,  54.1,  45.9
Danvers - Highlands,00710010,   2.7,   2.9,   8.3,  81.5,   0.0,   0.0,   4.6,  51.5,  48.5
Danvers - Holten Richmond Middle School,00710305,   1.7,   2.9,   7.2,  85.2,   0.2,   0.0,   2.8,  50.2,  49.8
Danvers - Ivan G Smith,00710032,   2.1,   2.8,   7.8,  84.8,   0.0,   0.7,   1.8,  44.5,  55.5
Danvers - Riverside,00710030,   2.3,   3.4,   9.6,  81.9,   0.6,   0.0,   2.3,  58.2,  41.8
Danvers - Willis E Thorpe,00710045,   1.0,   2.6,   4.5,  91.3,   0.3,   0.0,   0.3,  53.2,  46.8
Dartmouth - Andrew B. Cushman School,00720005,   0.0,   1.4,   2.1,  89.3,   0.0,   0.0,   7.1,  51.4,  48.6
Dartmouth - Dartmouth High,00720505,   1.5,   0.4,   2.6,  89.7,   0.0,   0.0,   5.8,  50.9,  49.1
Dartmouth - Dartmouth Middle,00720050,   1.4,   0.1,   3.6,  88.8,   0.0,   0.0,   6.0,  54.3,  45.7
Dartmouth - George H Potter,00720030,   1.6,   0.2,   3.7,  89.8,   0.0,   0.0,   4.7,  56.5,  43.5
Dartmouth - James M. Quinn School,00720040,   1.4,   1.6,   3.3,  87.2,   0.0,   0.2,   6.3,  53.2,  46.8
Dartmouth - Joseph Demello,00720015,   0.9,   0.5,   3.7,  89.4,   0.0,   0.0,   5.6,  51.6,  48.4
Dedham - Avery,00730010,   9.7,   2.8,  26.2,  53.0,   0.9,   0.0,   7.5,  48.3,  51.7
Dedham - Dedham High,00730505,   9.9,   4.0,  13.4,  70.7,   0.0,   0.0,   2.0,  50.7,  49.3
Dedham - Dedham Middle School,00730305,   6.0,   2.7,  14.9,  73.3,   0.2,   0.0,   3.0,  51.9,  48.1
Dedham - Early Childhood Center,00730005,   4.1,   1.9,  14.1,  74.1,   0.4,   0.0,   5.6,  54.1,  45.9
Dedham - Greenlodge,00730025,   3.8,   1.9,   7.1,  83.8,   0.0,   0.0,   3.4,  55.6,  44.4
Dedham - Oakdale,00730030,   6.7,   2.1,  10.9,  73.3,   0.0,   0.0,   7.0,  49.8,  50.2
Dedham - Riverdale,00730045,   5.6,   1.1,  15.6,  73.2,   0.0,   0.0,   4.5,  54.2,  45.8
Deerfield - Deerfield Elementary,00740015,   0.5,   1.2,   6.5,  85.3,   0.0,   0.0,   6.5,  48.6,  51.4
Dennis-Yarmouth - Dennis-Yarmouth Regional High,06450505,  10.0,   2.9,  11.5,  68.6,   1.8,   0.1,   5.1,  50.7,  49.3
Dennis-Yarmouth - Ezra H Baker Innovation School,06450005,   8.6,   1.7,   8.3,  70.2,   1.1,   0.3,   9.7,  55.3,  44.7
Dennis-Yarmouth - Marguerite E Small Elementary,06450015,   9.2,   1.8,  15.4,  62.1,   4.0,   0.4,   7.0,  56.6,  43.4
Dennis-Yarmouth - Mattacheese Middle School,06450305,   9.2,   2.0,  11.6,  69.4,   2.2,   0.0,   5.6,  50.6,  49.4
Dennis-Yarmouth - N H Wixon Innovation School,06450050,   9.2,   1.8,  13.5,  67.3,   2.4,   0.0,   5.7,  50.3,  49.7
Dennis-Yarmouth - Station Avenue Elementary,06450025,   7.9,   2.2,   6.2,  73.6,   1.9,   0.5,   7.7,  51.3,  48.7
Dighton-Rehoboth - Dighton Elementary,06500005,   1.7,   1.5,   6.0,  85.5,   0.0,   0.0,   5.2,  53.6,  46.4
Dighton-Rehoboth - Dighton Middle School,06500305,   1.5,   1.3,   4.8,  88.3,   0.0,   0.0,   4.1,  52.6,  47.4
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,06500505,   1.1,   0.9,   4.1,  91.5,   0.0,   0.0,   2.4,  55.0,  45.0
Dighton-Rehoboth - Dorothy L Beckwith,06500310,   0.2,   1.0,   3.3,  92.5,   0.2,   0.0,   2.9,  49.1,  50.9
Dighton-Rehoboth - Palmer River,06500010,   1.3,   1.8,   4.5,  89.0,   0.4,   0.0,   3.1,  48.3,  51.7
Douglas - Douglas Elementary School,00770015,   0.0,   1.3,   3.2,  92.5,   0.0,   0.0,   2.9,  48.3,  51.7
Douglas - Douglas High School,00770505,   0.5,   1.3,   2.4,  94.2,   0.0,   0.5,   1.0,  48.7,  51.3
Douglas - Douglas Middle School,00770305,   0.3,   1.4,   3.7,  92.5,   0.0,   0.3,   1.7,  56.0,  44.0
Douglas - Douglas Primary School,00770005,   0.0,   0.4,   4.9,  89.7,   0.4,   0.0,   4.5,  52.7,  47.3
Dover - Chickering,00780005,   3.7,  15.4,   3.9,  72.6,   0.0,   0.2,   4.3,  55.5,  44.5
Dover-Sherborn - Dover-Sherborn Regional High,06550505,   2.0,   7.2,   2.7,  84.1,   0.2,   0.0,   3.9,  50.4,  49.6
Dover-Sherborn - Dover-Sherborn Regional Middle School,06550405,   2.8,  10.8,   3.2,  78.4,   0.2,   0.0,   4.6,  50.7,  49.3
Dracut - Brookside Elementary,00790035,   9.2,   6.3,   9.6,  74.0,   0.0,   0.0,   0.9,  52.7,  47.3
Dracut - Dracut Senior High,00790505,   6.1,   7.1,   5.9,  78.5,   0.4,   0.1,   2.0,  50.0,  50.0
Dracut - George H. Englesby Elementary School,00790045,   5.0,   6.0,  11.7,  75.3,   0.0,   0.0,   1.9,  49.5,  50.5
Dracut - Greenmont Avenue,00790030,   4.4,   5.4,  16.7,  72.8,   0.0,   0.0,   0.7,  53.1,  46.9
Dracut - Joseph A Campbell Elementary,00790020,   4.4,   3.0,   4.2,  85.3,   0.0,   0.2,   3.0,  54.9,  45.1
Dracut - Justus C. Richardson Middle School,00790410,   6.0,   7.4,   7.9,  76.9,   0.2,   0.0,   1.6,  48.3,  51.7
Dudley Street Neighborhood Charter School (District) - Dudley Street Neighborhood Charter School,04070405,  62.3,   0.0,  35.9,   0.7,   0.0,   0.0,   1.1,  47.5,  52.5
Dudley-Charlton Reg - Charlton Elementary,06580020,   0.9,   0.6,   6.4,  87.0,   0.0,   0.0,   5.2,  53.0,  47.0
Dudley-Charlton Reg - Charlton Middle School,06580310,   0.6,   1.2,   6.8,  89.6,   0.1,   0.3,   1.4,  52.7,  47.3
Dudley-Charlton Reg - Dudley Elementary,06580005,   3.1,   0.3,  10.2,  83.1,   0.0,   0.0,   3.3,  51.9,  48.1
Dudley-Charlton Reg - Dudley Middle School,06580305,   1.7,   1.4,   7.3,  87.5,   0.0,   0.0,   2.1,  47.4,  52.6
Dudley-Charlton Reg - Heritage School,06580030,   1.5,   1.5,   7.9,  86.5,   0.4,   0.0,   2.3,  55.4,  44.6
Dudley-Charlton Reg - Mason Road School,06580010,   2.2,   0.7,  12.0,  82.6,   0.4,   0.0,   2.2,  55.1,  44.9
Dudley-Charlton Reg - Shepherd Hill Regional High,06580505,   2.1,   2.0,   7.9,  84.7,   0.4,   0.1,   2.9,  47.6,  52.3
Duxbury - Alden School,00820004,   0.1,   1.3,   2.5,  91.4,   0.1,   0.0,   4.4,  49.3,  50.7
Duxbury - Chandler Elementary,00820006,   0.8,   0.8,   2.4,  93.0,   0.0,   0.0,   3.0,  49.8,  50.2
Duxbury - Duxbury High,00820505,   0.3,   1.6,   2.3,  94.4,   0.0,   0.0,   1.4,  50.0,  50.0
Duxbury - Duxbury Middle,00820305,   0.1,   1.5,   1.9,  92.3,   0.1,   0.0,   4.0,  52.0,  48.0
East Bridgewater - Central,00830005,   2.3,   1.0,   3.3,  88.2,   0.3,   0.0,   4.8,  48.1,  51.9
East Bridgewater - East Bridgewater JR./SR. High School,00830505,   3.0,   0.7,   1.6,  93.0,   0.3,   0.1,   1.4,  47.8,  52.2
East Bridgewater - Gordon W Mitchell,00830010,   3.5,   0.3,   2.3,  89.7,   0.6,   0.2,   3.5,  56.9,  43.1
East Longmeadow - Birchland Park,00870305,   2.9,   5.3,   7.5,  83.0,   0.0,   0.0,   1.4,  53.4,  46.6
East Longmeadow - East Longmeadow High,00870505,   3.7,   5.7,   4.8,  84.2,   0.4,   0.2,   1.0,  49.8,  50.2
East Longmeadow - Mapleshade,00870010,   5.0,   7.8,   8.2,  75.5,   0.0,   0.0,   3.5,  50.7,  49.3
East Longmeadow - Meadow Brook,00870013,   1.2,   4.3,   9.2,  81.0,   0.0,   0.0,   4.3,  52.8,  47.2
East Longmeadow - Mountain View,00870015,   2.4,   4.1,   7.8,  81.2,   0.3,   0.0,   4.1,  51.2,  48.8
Eastham - Eastham Elementary,00850005,   5.8,   2.3,   1.7,  87.2,   0.6,   0.0,   2.3,  49.4,  50.6
Easthampton - Center School,00860005,   0.0,   1.5,  12.7,  80.2,   1.0,   0.0,   4.6,  55.8,  44.2
Easthampton - Easthampton High,00860505,   2.4,   3.9,  11.2,  80.5,   0.0,   0.2,   1.9,  47.0,  53.0
Easthampton - Maple,00860010,   2.0,   4.0,  11.7,  78.2,   0.4,   0.0,   3.6,  54.4,  45.6
Easthampton - Neil A Pepin,00860020,   1.1,   4.4,  15.0,  73.9,   0.6,   0.0,   5.0,  57.2,  42.8
Easthampton - White Brook Middle School,00860305,   0.9,   4.2,  12.2,  81.3,   0.0,   0.0,   1.3,  48.7,  51.3
Easton - Center School,00880003,   8.2,   2.2,   3.7,  82.4,   0.4,   0.0,   3.0,  57.7,  42.3
Easton - Easton Middle School,00880405,   5.1,   3.3,   3.7,  85.2,   0.1,   0.0,   2.6,  51.4,  48.6
Easton - Moreau Hall,00880020,   6.2,   3.1,   8.4,  78.9,   1.8,   0.4,   1.3,  54.6,  45.4
Easton - Oliver Ames High,00880505,   5.6,   3.6,   4.9,  82.6,   0.3,   0.0,   3.1,  46.1,  53.9
Easton - Parkview Elementary,00880015,   3.8,   1.6,   6.9,  81.8,   0.6,   0.0,   5.3,  51.1,  48.9
Easton - Richardson Olmsted School,00880025,   6.6,   3.0,   3.8,  83.6,   0.0,   0.1,   2.9,  49.8,  50.2
Edgartown - Edgartown Elementary,00890005,   3.2,   0.3,  19.6,  69.8,   2.6,   0.0,   4.4,  47.5,  52.5
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District) - Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520505,  42.4,   1.8,  48.7,   3.9,   0.3,   0.0,   2.9,  38.4,  61.6
Erving - Erving Elementary,00910030,   0.0,   0.0,   3.5,  85.9,   0.0,   0.0,  10.6,  50.7,  49.3
Essex North Shore Agricultural and Technical School District - Essex Technical High School,08170505,   1.2,   1.4,  11.6,  82.3,   0.3,   0.1,   3.0,  41.6,  58.2
Everett - Adams School,00930003,  19.9,   5.5,  38.8,  32.3,   0.0,   0.0,   3.5,  59.7,  40.3
Everett - Devens School,00930030,  23.2,   0.0,  35.7,  37.5,   0.0,   0.0,   3.6,  69.6,  30.4
Everett - Everett High,00930505,  19.5,   5.1,  47.3,  26.5,   0.3,   0.2,   1.3,  51.2,  48.8
Everett - George Keverian School,00930028,  15.1,   5.1,  53.4,  23.7,   0.5,   0.1,   2.2,  51.9,  48.1
Everett - Lafayette School,00930038,  18.3,   5.3,  47.0,  26.2,   0.5,   0.0,   2.6,  49.2,  50.8
Everett - Madeline English School,00930018,  12.4,   5.0,  51.3,  29.2,   0.4,   0.1,   1.6,  49.9,  50.1
Everett - Parlin School,00930058,  15.3,   3.0,  67.1,  13.3,   0.2,   0.0,   1.1,  49.2,  50.8
Everett - Sumner G. Whittier School,00930010,  12.2,   5.5,  63.9,  15.9,   1.0,   0.0,   1.6,  49.8,  50.2
Everett - Webster School,00930015,  15.6,   5.6,  49.3,  28.3,   0.1,   0.0,   1.1,  55.7,  44.3
Excel Academy Charter (District) - Excel Academy Charter School,04100205,   6.9,   1.4,  79.1,  10.7,   1.0,   0.4,   0.5,  49.2,  50.8
Fairhaven - East Fairhaven,00940010,   1.9,   1.2,   6.9,  85.2,   1.0,   0.0,   3.8,  53.7,  46.3
Fairhaven - Fairhaven High,00940505,   0.5,   1.7,   6.3,  87.8,   0.6,   0.0,   3.2,  47.7,  52.3
Fairhaven - Hastings Middle,00940305,   1.5,   2.6,   5.3,  87.4,   0.2,   0.0,   3.0,  52.1,  47.9
Fairhaven - Leroy Wood,00940030,   2.5,   1.8,   4.9,  86.1,   0.4,   0.0,   4.3,  47.9,  52.1
Fall River - B M C Durfee High,00950505,   8.1,   5.4,  23.7,  58.0,   0.2,   0.2,   4.4,  50.5,  49.5
Fall River - Carlton M. Viveiros Elementary School,00950009,   7.7,   4.2,  31.8,  46.0,   0.1,   0.0,  10.1,  53.2,  46.8
Fall River - Fall River Gateway to College @ BCC,00950515,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,   0.0, 100.0
Fall River - Henry Lord Community School,00950017,  10.6,   4.6,  32.9,  41.2,   0.3,   0.0,  10.4,  53.8,  46.2
Fall River - James Tansey,00950140,   2.5,   0.6,   7.0,  81.0,   0.0,   0.0,   8.9,  48.3,  51.7
Fall River - John J Doran,00950045,   9.0,   1.1,  29.5,  50.5,   0.4,   0.0,   9.5,  52.2,  47.8
Fall River - Letourneau Elementary School,00950013,   5.8,   2.1,  34.1,  50.0,   0.0,   0.0,   7.9,  48.9,  51.1
Fall River - Mary Fonseca Elementary School,00950011,   9.3,   4.9,  37.5,  35.7,   0.4,   0.1,  12.0,  50.8,  49.2
Fall River - Matthew J Kuss Middle,00950320,   8.9,   4.7,  20.5,  59.1,   0.1,   0.0,   6.7,  47.7,  52.3
Fall River - Morton Middle,00950315,   8.5,   5.1,  23.0,  57.1,   0.5,   0.2,   5.6,  55.9,  44.1
Fall River - North End Elementary,00950005,   6.4,   3.1,  19.6,  60.1,   0.1,   0.1,  10.5,  51.6,  48.4
Fall River - Resiliency Preparatory Academy,00950525,  10.4,   1.6,  25.3,  55.5,   0.5,   1.1,   5.5,  50.5,  49.5
Fall River - Samuel Watson,00950145,  13.1,   2.1,  21.6,  49.5,   1.4,   0.0,  12.4,  50.2,  49.8
Fall River - Spencer Borden,00950130,   5.3,   4.8,  19.0,  61.3,   0.0,   0.0,   9.6,  55.1,  44.9
Fall River - Stone PK-12 School,00950340,  12.8,   0.0,  23.1,  51.3,   0.0,   0.0,  12.8,  84.6,  15.4
Fall River - Talbot Innovation School,00950305,   8.1,   4.7,  33.4,  45.3,   0.0,   0.0,   8.5,  56.3,  43.7
Fall River - William S Greene,00950065,   4.8,   5.1,  25.6,  54.7,   0.1,   0.0,   9.6,  48.2,  51.8
Falmouth - East Falmouth Elementary,00960005,   4.5,   1.1,   5.3,  78.4,   2.7,   0.0,   8.0,  51.5,  48.5
Falmouth - Falmouth High,00960505,   4.2,   3.7,   4.2,  81.0,   1.0,   0.0,   6.1,  47.6,  52.3
Falmouth - Lawrence,00960405,   5.5,   1.8,   5.0,  81.1,   0.7,   0.2,   5.7,  51.9,  48.1
Falmouth - Morse Pond School,00960305,   5.9,   2.2,   5.6,  79.8,   0.7,   0.2,   5.6,  50.3,  49.7
Falmouth - Mullen-Hall,00960020,   2.3,   2.8,   7.1,  78.8,   1.4,   0.0,   7.6,  57.4,  42.6
Falmouth - North Falmouth Elementary,00960030,   3.1,   1.3,   5.9,  85.3,   0.0,   0.0,   4.4,  47.8,  52.2
Falmouth - Teaticket,00960015,   8.5,   0.8,   8.2,  73.2,   2.7,   0.0,   6.6,  54.5,  45.5
Farmington River Reg - Farmington River Elementary,06620020,   0.0,   0.8,   1.7,  96.7,   0.0,   0.0,   0.8,  60.3,  39.7
Fitchburg - Arthur M Longsjo Middle School,00970315,   6.1,   4.2,  54.6,  27.8,   0.0,   0.2,   7.1,  54.6,  45.4
Fitchburg - Crocker Elementary,00970016,   3.3,   2.9,  51.1,  34.0,   0.2,   0.2,   8.4,  53.8,  46.2
Fitchburg - Fitchburg High,00970505,   8.4,   5.4,  47.4,  31.5,   0.0,   0.1,   7.3,  51.5,  48.5
Fitchburg - Goodrich Academy,00970510,   5.9,   1.2,  40.2,  47.9,   0.0,   0.0,   4.7,  50.3,  49.7
Fitchburg - McKay Arts Academy,00970340,   4.6,   7.6,  49.9,  31.4,   0.0,   0.0,   6.5,  46.3,  53.7
Fitchburg - Memorial Intermediate,00970048,   4.5,   6.6,  53.0,  29.4,   0.0,   0.0,   6.5,  50.0,  50.0
Fitchburg - Reingold Elementary,00970043,   5.6,   2.9,  49.6,  33.8,   0.0,   0.2,   8.0,  52.2,  47.8
Fitchburg - South Street Elementary,00970060,   6.9,   5.3,  53.6,  27.3,   0.2,   0.0,   6.8,  51.2,  48.8
Florida - Abbott Memorial,00980005,   1.3,   0.0,   0.0,  98.8,   0.0,   0.0,   0.0,  50.0,  50.0
Four Rivers Charter Public (District) - Four Rivers Charter Public School,04130505,   0.5,   1.4,   7.7,  85.6,   0.0,   0.0,   5.0,  50.0,  50.0
Foxborough - Charles Taylor Elementary,00990050,   3.4,   4.6,   4.6,  82.3,   1.3,   0.4,   3.4,  54.4,  45.6
Foxborough - Foxborough High,00990505,   5.1,   3.0,   3.2,  87.2,   0.0,   0.1,   1.4,  52.2,  47.8
Foxborough - John J Ahern,00990405,   4.9,   2.4,   5.2,  85.1,   0.6,   0.0,   1.9,  52.3,  47.7
Foxborough - Mabelle M Burrell,00990015,   3.5,   6.3,   6.3,  80.8,   0.3,   0.3,   2.5,  52.4,  47.6
Foxborough - Vincent M Igo Elementary,00990020,   3.1,   7.1,   6.1,  79.1,   0.5,   0.0,   4.1,  50.6,  49.4
Foxborough Regional Charter (District) - Foxborough Regional Charter School,04460550,  42.1,  10.2,   4.9,  37.2,   0.3,   0.1,   5.2,  47.1,  52.9
Framingham - Barbieri Elementary,01000035,   3.7,   0.6,  69.9,  22.5,   0.1,   0.0,   3.2,  45.2,  54.8
Framingham - Brophy,01000006,   6.1,   3.8,  54.0,  34.2,   0.0,   0.0,   1.9,  47.9,  52.1
Framingham - Cameron Middle School,01000302,   6.5,   2.8,  17.8,  68.6,   0.2,   0.0,   4.1,  50.8,  49.2
Framingham - Charlotte A Dunning,01000007,   6.8,  12.7,  11.9,  65.2,   0.0,   0.0,   3.4,  53.7,  46.3
Framingham - Framingham High School,01000515,   7.3,   5.8,  22.2,  61.4,   0.0,   0.0,   3.2,  50.3,  49.7
Framingham - Fuller Middle,01000305,   9.4,   2.4,  38.9,  45.3,   0.0,   0.6,   3.4,  51.1,  48.9
Framingham - Hemenway,01000015,   5.3,   8.1,  10.9,  70.2,   0.2,   0.0,   5.3,  50.0,  50.0
Framingham - Juniper Hill School,01000001,   7.0,  11.0,  25.6,  49.8,   0.0,   0.4,   6.2,  52.4,  47.6
Framingham - King Elementary School,01000005,   5.7,   9.9,  11.7,  65.0,   0.0,   0.0,   7.8,  54.8,  45.2
Framingham - Mary E Stapleton Elementary,01000045,   7.9,   4.3,  16.8,  66.9,   0.0,   0.0,   4.1,  52.8,  47.2
Framingham - Miriam F McCarthy School,01000050,  12.6,   2.7,  30.1,  48.0,   0.0,   0.5,   6.0,  49.3,  50.7
Framingham - Potter Road,01000039,   7.0,   5.5,   7.2,  74.9,   0.0,   0.0,   5.5,  51.1,  48.9
Framingham - Walsh Middle,01000310,   4.5,   5.8,  32.7,  54.6,   0.0,   0.0,   2.5,  53.4,  46.6
Framingham - Woodrow Wilson,01000055,   9.5,   0.7,  22.1,  65.4,   0.2,   0.0,   2.1,  51.4,  48.6
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,04780505,   0.5,   1.8,   2.8,  90.2,   0.0,   0.0,   4.8,  46.0,  53.8
Franklin - Annie Sullivan Middle School,01010040,   0.2,   3.8,   3.1,  91.0,   0.0,   0.7,   1.1,  52.9,  47.1
Franklin - Davis Thayer,01010035,   2.2,   1.7,   5.2,  89.6,   0.4,   0.0,   0.9,  52.4,  47.6
Franklin - Franklin Early Childhood Development Center,01010003,   2.9,   1.0,   7.7,  80.8,   1.0,   2.9,   3.8,  60.6,  39.4
Franklin - Franklin High,01010505,   1.7,   5.6,   2.0,  88.2,   0.2,   0.2,   2.0,  50.1,  49.9
Franklin - Helen Keller Elementary,01010012,   1.5,   3.5,   1.2,  91.8,   0.0,   0.5,   1.5,  52.2,  47.8
Franklin - Horace Mann,01010405,   1.1,   6.9,   3.0,  86.6,   0.0,   0.0,   2.4,  49.1,  50.9
Franklin - J F Kennedy Memorial,01010013,   0.3,   6.3,   3.5,  86.4,   0.3,   1.6,   1.6,  53.7,  46.3
Franklin - Jefferson Elementary,01010010,   1.5,   8.3,   3.0,  85.1,   0.0,   1.2,   0.9,  55.1,  44.9
Franklin - Oak Street Elementary,01010030,   1.5,   4.1,   4.4,  87.4,   0.0,   0.3,   2.3,  54.4,  45.6
Franklin - Parmenter,01010032,   4.6,   5.6,   3.4,  83.0,   0.3,   1.2,   1.9,  52.3,  47.7
Franklin - Remington Middle,01010310,   1.6,   5.2,   2.7,  88.2,   0.0,   0.0,   2.3,  50.1,  49.9
Franklin County Regional Vocational Technical - Franklin County Technical,08180605,   1.2,   0.2,   2.7,  95.7,   0.0,   0.0,   0.2,  69.4,  30.6
Freetown-Lakeville - Apponequet Regional High,06650505,   1.2,   1.7,   1.9,  93.3,   0.1,   0.1,   1.7,  51.1,  48.9
Freetown-Lakeville - Assawompset Elementary School,06650002,   2.5,   0.7,   0.9,  92.9,   0.0,   0.0,   3.0,  53.7,  46.3
Freetown-Lakeville - Freetown Elementary School,06650001,   1.0,   0.2,   1.5,  96.4,   0.0,   0.0,   1.0,  50.7,  49.3
Freetown-Lakeville - Freetown-Lakeville Middle School,06650305,   0.8,   0.5,   2.5,  94.1,   0.3,   0.1,   1.6,  48.9,  51.1
Freetown-Lakeville - George R Austin Intermediate School,06650015,   1.8,   1.1,   0.5,  94.5,   0.2,   0.0,   1.8,  49.1,  50.9
Frontier - Frontier Regional,06700505,   1.6,   2.7,   5.0,  87.8,   0.0,   0.2,   2.7,  53.8,  46.2
Gardner - Elm Street School,01030001,   2.5,   1.4,  18.3,  67.0,   0.2,   0.0,  10.5,  52.5,  47.5
Gardner - Gardner Academy for Learning and Technology,01030515,   2.7,   1.4,   8.2,  76.7,   1.4,   0.0,   9.6,  49.3,  49.3
Gardner - Gardner High,01030505,   3.3,   2.3,  15.7,  72.9,   0.3,   0.0,   5.5,  53.5,  46.5
